"DRUG_NAME"	"TC"	"Correlation"	"PValue"	"Compound..code.or.generic.name."	"Compound..brand.name."	"Target.s."	"Mechanism.of.action"	"Class"	"Highest.Phase"	"Organization"	"mTC"
"1"	13	"V414"	0.491135128	0	"Panobinostat  "	"Faridak "	"HDAC"	"Histone Deacetylase (HDAC) Inhibitor"	"Other targeted therapies"	"Pre-Registered"	"Novartis"	103
"2"	13	"V396"	-0.428705127	0	"Panobinostat  "	"Faridak "	"HDAC"	"Histone Deacetylase (HDAC) Inhibitor"	"Other targeted therapies"	"Pre-Registered"	"Novartis"	97
"3"	13	"V91"	-0.402241626	0	"Panobinostat  "	"Faridak "	"HDAC"	"Histone Deacetylase (HDAC) Inhibitor"	"Other targeted therapies"	"Pre-Registered"	"Novartis"	134
"4"	13	"V161"	-0.398767572	0	"Panobinostat  "	"Faridak "	"HDAC"	"Histone Deacetylase (HDAC) Inhibitor"	"Other targeted therapies"	"Pre-Registered"	"Novartis"	17
"5"	6	"V393"	0.384756622	4.31e-12	"Irinotecan"	"Camptosar "	"Topoisomerase I"	"DNA Topoisomerase I Inhibitor"	"Cytotoxic"	"Launched-1994"	"Pfizer "	96
"6"	6	"V126"	-0.382897505	5.6e-12	"Irinotecan"	"Camptosar "	"Topoisomerase I"	"DNA Topoisomerase I Inhibitor"	"Cytotoxic"	"Launched-1994"	"Pfizer "	9
"7"	6	"V396"	-0.382075372	6.28e-12	"Irinotecan"	"Camptosar "	"Topoisomerase I"	"DNA Topoisomerase I Inhibitor"	"Cytotoxic"	"Launched-1994"	"Pfizer "	97
"8"	13	"V177"	-0.377525437	0	"Panobinostat  "	"Faridak "	"HDAC"	"Histone Deacetylase (HDAC) Inhibitor"	"Other targeted therapies"	"Pre-Registered"	"Novartis"	28
"9"	6	"V346"	-0.366144091	5.29e-11	"Irinotecan"	"Camptosar "	"Topoisomerase I"	"DNA Topoisomerase I Inhibitor"	"Cytotoxic"	"Launched-1994"	"Pfizer "	80
"10"	6	"V381"	0.364981043	6.14e-11	"Irinotecan"	"Camptosar "	"Topoisomerase I"	"DNA Topoisomerase I Inhibitor"	"Cytotoxic"	"Launched-1994"	"Pfizer "	91
"11"	8	"V12"	0.350208917	1.6e-15	"Lapatinib"	"Tykerb"	"EGFR, HER2"	"EGFR and HER2 Inhibitor"	"Kinase inhibitor"	"Launched-2007"	"GlaxoSmithKline"	8
"12"	23	"V126"	-0.347146148	3.03e-15	"Topotecan"	"Hycamtin"	"Topoisomerase I"	"DNA Topoisomerase I Inhibitor"	"Cytotoxic"	"Launched-1996"	"GlaxoSmithKline"	9
"13"	23	"V177"	-0.345594522	4.16e-15	"Topotecan"	"Hycamtin"	"Topoisomerase I"	"DNA Topoisomerase I Inhibitor"	"Cytotoxic"	"Launched-1996"	"GlaxoSmithKline"	28
"14"	13	"V32"	0.345382391	5.65e-15	"Panobinostat  "	"Faridak "	"HDAC"	"Histone Deacetylase (HDAC) Inhibitor"	"Other targeted therapies"	"Pre-Registered"	"Novartis"	72
"15"	6	"V177"	-0.344849054	7.37e-10	"Irinotecan"	"Camptosar "	"Topoisomerase I"	"DNA Topoisomerase I Inhibitor"	"Cytotoxic"	"Launched-1994"	"Pfizer "	28
"16"	23	"V396"	-0.33909803	1.5e-14	"Topotecan"	"Hycamtin"	"Topoisomerase I"	"DNA Topoisomerase I Inhibitor"	"Cytotoxic"	"Launched-1996"	"GlaxoSmithKline"	97
