"V197_CCLE"	"V411_CCLE"	"V299_CCLE"	"V95_CCLE"	"V280_CCLE"	"V186_CCLE"	"V183_CCLE"	"V28_CCLE"	"V22_CCLE"	"V175_CCLE"	"V36_CCLE"	"V405_CCLE"	"V344_CCLE"	"V383_CCLE"	"V259_CCLE"	"V466_CCLE"	"V381_CCLE"	"V270_CCLE"	"V155_CCLE"	"V72_CCLE"	"V266_CCLE"	"V463_CCLE"	"V11_CCLE"	"V126_CCLE"	"V291_CCLE"	"V294_CCLE"	"V173_CCLE"	"V207_CCLE"	"V329_CCLE"	"V447_CCLE"	"V13_CCLE"	"V79_CCLE"	"V465_CCLE"	"V281_CCLE"	"V448_CCLE"	"V102_CCLE"	"V116_CCLE"	"V18_CCLE"	"V189_CCLE"	"V252_CCLE"	"V412_CCLE"	"V227_CCLE"	"V166_CCLE"	"V24_CCLE"	"V439_CCLE"	"V44_CCLE"	"V341_CCLE"	"V43_CCLE"	"V418_CCLE"	"V177_CCLE"	"V392_CCLE"	"V352_CCLE"	"V258_CCLE"	"V164_CCLE"	"V420_CCLE"	"V162_CCLE"	"V265_CCLE"	"V311_CCLE"	"V180_CCLE"	"V367_CCLE"	"V172_CCLE"	"V84_CCLE"	"V461_CCLE"	"V416_CCLE"	"V90_CCLE"	"V71_CCLE"	"V432_CCLE"	"V462_CCLE"	"V349_CCLE"	"V350_CCLE"	"V382_CCLE"	"V171_CCLE"	"V91_CCLE"	"V459_CCLE"	"V460_CCLE"	"V358_CCLE"	"V346_CCLE"	"V80_CCLE"	"V241_CCLE"	"V92_CCLE"	"V269_CCLE"	"V289_CCLE"	"V404_CCLE"	"V260_CCLE"	"V306_CCLE"	"V118_CCLE"	"V414_CCLE"	"V300_CCLE"	"V320_CCLE"	"V30_CCLE"	"V150_CCLE"	"V208_CCLE"	"V387_CCLE"	"V21_CCLE"	"V364_CCLE"	"V81_CCLE"	"V33_CCLE"	"V268_CCLE"	"V211_CCLE"	"V327_CCLE"	"V142_CCLE"	"V154_CCLE"	"V218_CCLE"	"V190_CCLE"	"V2_CCLE"	"V332_CCLE"	"V455_CCLE"	"V357_CCLE"	"V372_CCLE"	"V273_CCLE"	"V55_CCLE"	"V436_CCLE"	"V160_CCLE"	"V376_CCLE"	"V119_CCLE"	"V396_CCLE"	"V393_CCLE"	"V85_CCLE"	"V10_CCLE"	"V182_CCLE"	"V275_CCLE"	"V413_CCLE"	"V216_CCLE"	"V32_CCLE"	"V9_CCLE"	"V100_CCLE"	"V310_CCLE"	"V176_CCLE"	"V17_CCLE"	"V200_CCLE"	"V170_CCLE"	"V63_CCLE"	"V161_CCLE"	"V12_CCLE"	"V156_CCLE"
"GO_PYRIMIDINE_NUCLEOSIDE_TRIPHOSPHATE_METABOLIC_PROCESS"	0	0	0.379521668072788	4.82163733276644e-17	0.769337851584377	0	-0.421930281605649	0	4.82163733276644e-17	0	0	0.676933626803379	-0.389815490248835	0	0.701301305508796	0	0	0.646899573763929	4.82163733276644e-17	0.829298739057584	0	0	-0.854039097768745	1.2779080534453	-3.16528280892577	0.883273185007076	0.667645112174702	0	2.09576639248286	0.566743663953369	0	0	0	0	0	-0.767692873833686	-0.924054941150815	0	0.424727327732817	0	0	0	4.82163733276644e-17	0	0	0	-4.82163733276644e-17	4.82163733276644e-17	4.82163733276644e-17	4.82163733276644e-17	0	4.82163733276644e-17	-4.82163733276644e-17	0	0	4.82163733276644e-17	0	4.82163733276644e-17	-4.82163733276644e-17	0	1.06287549647974	0.670713653724705	0.763664559157577	0	0	0	-4.82163733276644e-17	0	0	4.82163733276644e-17	0	-0.663092880893937	0	0	-4.82163733276644e-17	0	4.82163733276644e-17	0	4.82163733276644e-17	0	4.82163733276644e-17	-4.82163733276644e-17	4.82163733276644e-17	-4.82163733276644e-17	-4.82163733276644e-17	0	-4.82163733276644e-17	0	4.82163733276644e-17	-4.82163733276644e-17	0	0	-4.82163733276644e-17	0	0	-4.82163733276644e-17	0	4.82163733276644e-17	-0.777963164163676	0	0	-4.82163733276644e-17	-4.82163733276644e-17	4.82163733276644e-17	0	0.556742703803703	1.11419837482473	4.82163733276644e-17	0	0	0.722089823223612	0	0.65124046336207	-0.771766318854992	0	-4.82163733276644e-17	4.82163733276644e-17	0	0	-4.82163733276644e-17	4.82163733276644e-17	-0.891653275058642	1.27002448040244	0	-0.51100652196215	4.82163733276644e-17	0	-4.82163733276644e-17	4.82163733276644e-17	4.82163733276644e-17	0.683267139704771	0.522560725258358	0	1.03743372195544	0
"GO_PYRIMIDINE_RIBONUCLEOSIDE_TRIPHOSPHATE_METABOLIC_PROCESS"	0	0	0	-4.82163733276644e-17	1.00409973870867	4.82163733276644e-17	-0.536571811207698	0	4.82163733276644e-17	0	0	0.804548726462305	-0.501980186712992	0	0.829730229363851	0	0	0.77343415586002	0	-4.82163733276644e-17	-4.82163733276644e-17	-4.82163733276644e-17	0	0	-3.45490340721313	0	0.794935506301974	0	2.51339468207013	0.689908980238807	0	0	0	0	0	0	4.82163733276644e-17	0	0.539572474910919	0	-4.82163733276644e-17	0	0	0	0	0	0	-4.82163733276644e-17	0	-4.82163733276644e-17	0	4.82163733276644e-17	0	-4.82163733276644e-17	4.82163733276644e-17	4.82163733276644e-17	-4.82163733276644e-17	-4.82163733276644e-17	-4.82163733276644e-17	0	1.1988725784822	0	0.89394902181157	0	0	0	-4.82163733276644e-17	0	0	0	0	-0.790221099042139	0	0	0	0	4.82163733276644e-17	-4.82163733276644e-17	4.82163733276644e-17	4.82163733276644e-17	0	4.82163733276644e-17	4.82163733276644e-17	0	0	0	-4.82163733276644e-17	4.82163733276644e-17	0	0	0	0	-4.82163733276644e-17	0	4.82163733276644e-17	4.82163733276644e-17	4.82163733276644e-17	4.82163733276644e-17	4.82163733276644e-17	0	0	0	4.82163733276644e-17	4.82163733276644e-17	4.82163733276644e-17	-4.82163733276644e-17	1.25081360907926	0	-4.82163733276644e-17	4.82163733276644e-17	0.851171922605032	-4.82163733276644e-17	0.777936788847235	-0.902270069626498	0	-4.82163733276644e-17	-4.82163733276644e-17	0	0	-4.82163733276644e-17	0	-1.02491563117646	1.40810694604172	0	-0.631325645906567	0	4.82163733276644e-17	4.82163733276644e-17	4.82163733276644e-17	-4.82163733276644e-17	0.811098971477355	0.643508992509305	0	-4.82163733276644e-17	-4.82163733276644e-17
"GO_PYRIMIDINE_RIBONUCLEOSIDE_METABOLIC_PROCESS"	4.82163733276644e-17	4.82163733276644e-17	-4.82163733276644e-17	0.347924310042804	0.532255545340021	-0.239042465864888	-0.303645588920464	-0.429322378314804	0	0	0	0.538859309199364	-0.275224738593756	-4.82163733276644e-17	1.39801341345184	-0.588603943152207	4.82163733276644e-17	0.510499967256177	0	0	0.51734825680377	-4.82163733276644e-17	-0.70835907371904	0	-2.84284870717182	0	1.3301661131898	0	3.51971291714695	0.435536384610197	4.82163733276644e-17	0	4.82163733276644e-17	-4.82163733276644e-17	0	4.82163733276644e-17	4.82163733276644e-17	4.82163733276644e-17	0.306137691746578	0	0	0	-4.82163733276644e-17	-4.82163733276644e-17	0	0	0	-4.82163733276644e-17	4.82163733276644e-17	0	4.82163733276644e-17	0	-4.82163733276644e-17	4.82163733276644e-17	0	0	4.82163733276644e-17	0	-4.82163733276644e-17	0.606437779971649	0.911661303792581	-4.82163733276644e-17	0.621433721940058	-4.82163733276644e-17	0	0	0.627236117269766	0	0	0	0	-0.525773751886898	4.82163733276644e-17	0	4.82163733276644e-17	0	0	-0.44189198979489	0	0	0	0	-4.82163733276644e-17	0	0	1.16122482852358	0	0.550970224733573	0	0	-4.82163733276644e-17	0	4.82163733276644e-17	0	-4.82163733276644e-17	0	0	0	-0.635132353033469	-0.723502658028365	-4.82163733276644e-17	-1.2511375493802	0	-0.555634666420517	0	0	0.962005201328359	0	-4.82163733276644e-17	4.82163733276644e-17	0.581734560191796	4.82163733276644e-17	1.29708990597365	-0.629192828413841	0	4.82163733276644e-17	0	0	-4.82163733276644e-17	4.82163733276644e-17	4.82163733276644e-17	-0.744754164040073	1.11550241382966	0	-0.384149191292122	4.82163733276644e-17	0	0	0	0	0.544856359378618	1.0374565172423	4.82163733276644e-17	0	-4.82163733276644e-17
"GO_PYRIMIDINE_RIBONUCLEOTIDE_METABOLIC_PROCESS"	4.82163733276644e-17	0	0	0.43468094751234	0.698085640084337	-0.315362602288542	-0.386674577242738	4.82163733276644e-17	-4.82163733276644e-17	-4.82163733276644e-17	0	0.636619209290822	-0.35551410543055	4.82163733276644e-17	1.61040777693204	-0.688320768587423	4.82163733276644e-17	0.607010070049582	0	0	0	0	0	0	-3.07241057414527	0	0.627458449776178	0	4.09704048641421	0.528175101362339	4.82163733276644e-17	0	0	4.82163733276644e-17	-4.82163733276644e-17	0	0	0	0.389392996425019	-9.64327466553287e-17	0	0	4.82163733276644e-17	0	0	0	-0.498619853206038	-4.82163733276644e-17	-4.82163733276644e-17	0	4.82163733276644e-17	-4.82163733276644e-17	0	0	0	0	-4.82163733276644e-17	0	0	-4.82163733276644e-17	1.01924482322583	0	0.722297816705078	0	4.82163733276644e-17	0	0.72829220732603	4.82163733276644e-17	-4.82163733276644e-17	-0.53263895492063	0	-0.622970005774983	-4.82163733276644e-17	0	0	4.82163733276644e-17	0	0	0	4.82163733276644e-17	4.82163733276644e-17	4.82163733276644e-17	0	0.514097157787574	4.82163733276644e-17	1.27169086566463	4.82163733276644e-17	4.82163733276644e-17	0	0	-4.82163733276644e-17	4.82163733276644e-17	0	4.82163733276644e-17	-4.82163733276644e-17	0	-4.82163733276644e-17	0	-4.82163733276644e-17	0	0	0	0	0	0	0	1.07032179508408	4.82163733276644e-17	-4.82163733276644e-17	4.82163733276644e-17	0.681197532503659	4.82163733276644e-17	0.611287393237054	-0.730312966625811	0	4.82163733276644e-17	4.82163733276644e-17	0	-4.82163733276644e-17	4.82163733276644e-17	-4.82163733276644e-17	-0.849108350585367	1.22556352182215	4.82163733276644e-17	-0.473548911769326	4.82163733276644e-17	0	4.82163733276644e-17	0	0	0.642867418435307	0.484857939805174	4.82163733276644e-17	0	0
"GO_GTP_METABOLIC_PROCESS"	0	0	0.330202300310955	0	0.665954728992783	-0.300539363394238	-0.37069915244908	0	-0.633877871416558	0	0	1.52018233690245	-0.919318196214889	0	0.642030441013856	-4.82163733276644e-17	4.82163733276644e-17	0	0	0	0	4.82163733276644e-17	0	0	-3.02953972859208	-4.82163733276644e-17	0.609044995892838	0	0.406363940956375	2.25856042416028	0	-4.82163733276644e-17	4.82163733276644e-17	-0.65894735719276	0	-4.82163733276644e-17	0	0	0.373378858709815	4.82163733276644e-17	-4.82163733276644e-17	4.82163733276644e-17	0	0.590153230926276	-0.665955663648069	-4.82163733276644e-17	-0.48129493742261	0	4.82163733276644e-17	0	0	4.82163733276644e-17	0	0	-4.82163733276644e-17	0	0	-4.82163733276644e-17	0	-0.870794216057652	0.999117644344536	-4.82163733276644e-17	0	-4.82163733276644e-17	0.518346087235359	0	-4.82163733276644e-17	0	-4.82163733276644e-17	-4.82163733276644e-17	0	-0.604588213748276	4.82163733276644e-17	4.82163733276644e-17	-0.640384130183317	0	0	0	0	-4.82163733276644e-17	-4.82163733276644e-17	-1.28493321302154	4.82163733276644e-17	-4.82163733276644e-17	-4.82163733276644e-17	1.25108172667206	0	0	-0.426983463021513	0.982110529583746	-4.82163733276644e-17	0	4.82163733276644e-17	-0.784871835484371	0	-1.53654652900234	4.82163733276644e-17	-1.41914329655605	-4.82163733276644e-17	4.82163733276644e-17	-0.65894735719276	-1.34155825378608	4.82163733276644e-17	0	0	-4.82163733276644e-17	1.0500719532506	4.82163733276644e-17	0	-4.82163733276644e-17	0.662433630494151	0	0.592989872020953	-0.711270161005688	0	4.82163733276644e-17	4.82163733276644e-17	-4.82163733276644e-17	0	0	-4.82163733276644e-17	-0.829522301441504	1.20502202937477	-0.736323170837063	-1.17547197720763	0	0	4.82163733276644e-17	4.82163733276644e-17	0	0	0.467675099470168	0	0	4.82163733276644e-17
"GO_NUCLEOSIDE_DIPHOSPHATE_KINASE_ACTIVITY"	0	4.82163733276644e-17	-4.82163733276644e-17	0	0	-0.386423599759436	0	0	-0.738889178859863	0	4.82163733276644e-17	0.722618766208626	-0.429392242722666	4.82163733276644e-17	1.79608484210941	-0.775653923882977	0	0.692155633779462	0	-4.82163733276644e-17	4.82163733276644e-17	4.82163733276644e-17	4.82163733276644e-17	-4.82163733276644e-17	-3.26960274011253	4.82163733276644e-17	0.713201281512303	0	0.500635575946251	0.610663499168073	0	-0.920156816396402	0	0	4.82163733276644e-17	-0.814482755979127	-4.82163733276644e-17	0	0.465359391989633	4.82163733276644e-17	0	4.82163733276644e-17	-4.82163733276644e-17	0.693617865079488	-0.771987686372321	-4.82163733276644e-17	-0.579943388151741	4.82163733276644e-17	0	-4.82163733276644e-17	0.804385628666898	4.82163733276644e-17	0.658786114816208	-4.82163733276644e-17	-4.82163733276644e-17	0.997813918518249	0	-4.82163733276644e-17	0.752458238155349	-4.82163733276644e-17	1.11189776635455	0	4.82163733276644e-17	0	0.618810514985294	-4.82163733276644e-17	0.816535592536492	0	0.693617865079488	-0.615294572078195	0.816535592536492	-0.70858464431472	4.82163733276644e-17	0	0	0	4.82163733276644e-17	-0.617634422967182	0	-4.82163733276644e-17	0	-4.82163733276644e-17	4.82163733276644e-17	0.59604349118597	0	0	4.82163733276644e-17	0.735575401660293	0	0	0	0	-4.82163733276644e-17	4.82163733276644e-17	4.82163733276644e-17	0	0	0	-0.824862170712876	-4.82163733276644e-17	4.82163733276644e-17	0	0	0	4.82163733276644e-17	-4.82163733276644e-17	1.16346732520126	0	4.82163733276644e-17	0	0	4.82163733276644e-17	0.696560735710741	-0.818599833310122	-4.82163733276644e-17	0	-4.82163733276644e-17	0	0	0	0	-0.939585143745469	1.31987924618506	0	-0.553799693241048	4.82163733276644e-17	4.82163733276644e-17	4.82163733276644e-17	4.82163733276644e-17	0	-4.82163733276644e-17	0.56560277135966	0	4.82163733276644e-17	4.82163733276644e-17
"GO_PYRIMIDINE_NUCLEOTIDE_METABOLIC_PROCESS"	-0.202761281182239	0	0	0.228466341900864	0.169776907836879	0	4.82163733276644e-17	0	0	0.315635776324368	0	0.397083635623692	-0.998845394599367	-4.82163733276644e-17	1.08455682553164	0.616272216438507	0.201625049950056	0.371304555074126	-4.82163733276644e-17	0.532209005933722	0.377510743104866	0	-0.554717970789983	0.713258943394107	-2.49263441176199	0.581484794729246	1.02063933121672	0	2.68599630706365	0.831327560513445	4.82163733276644e-17	4.82163733276644e-17	0	0	0	-0.476792341703092	-0.619107127214452	0	0.572967313916927	0	0	0	4.82163733276644e-17	0	0	0	-0.279815715730379	0	0	0	4.82163733276644e-17	-4.82163733276644e-17	-4.82163733276644e-17	4.82163733276644e-17	4.82163733276644e-17	0	0	0	0	0	0.749243511366322	0.391718200159427	0.473202799822994	0	0	0	0.478603812882716	0	0	-0.307989645081363	4.82163733276644e-17	-0.385163108268182	-0.366447138488535	-0.406744358789202	4.82163733276644e-17	0	0	0	0	0	4.82163733276644e-17	4.82163733276644e-17	0	0.292566345884565	0	0.992637713636548	0	0	0	4.82163733276644e-17	0	0	0	0	4.82163733276644e-17	0	0	0	-1.23131061363023	0	0.977105074872463	0.442766384428517	0	0	0	0.296098793697176	0.798022991157547	0	0	-0.455894525764049	0.436425383461758	0	0.375010022440543	-0.480426571978757	0	0	0	0	0.202727378841642	4.82163733276644e-17	4.82163733276644e-17	-0.58918968165346	0.947784817387307	0	-0.259415666184138	-4.82163733276644e-17	0	0	0	0	0.402560839650503	0.74975758623021	4.82163733276644e-17	0.725183457629576	0
"GO_PYRIMIDINE_CONTAINING_COMPOUND_METABOLIC_PROCESS"	0	0	0	-0.333348792403804	0.451598924333217	-0.138987703479927	-4.82163733276644e-17	0	-4.82163733276644e-17	4.82163733276644e-17	0	0.236627050664214	-0.356891591209032	-4.82163733276644e-17	0.713317202031946	0.426610561969236	0.574379106972001	0.215659534395128	-4.82163733276644e-17	0.351697963855037	0.634951407043877	-1.61747964930432	-0.979037141478457	1.3180201153016	-2.04701672426394	0.395358995315067	1.23472753491844	0	1.71742490675065	0.495526451783785	0	-0.386442839851225	4.82163733276644e-17	0	4.82163733276644e-17	-0.303581686619907	-0.429171579758612	0	0.613890644253471	0	-0.340519778194169	-4.82163733276644e-17	0	0.21665061991242	-0.754593901408516	-0.764671301617388	-0.889819566232443	-0.79609311572272	-4.82163733276644e-17	-0.200832653675982	0.295970977344612	4.82163733276644e-17	0.201553734093891	-0.201499393526026	0	0	0.203277443988366	0.280120095461898	0	0.288619007441961	0.548698257970595	0.232232453230373	0.300505488804299	0	0.199661564163336	-0.201574618406446	0.30513608076462	-0.201448074763139	0	0	4.82163733276644e-17	0.603373350231418	-0.21175166712945	-0.244578525348717	-0.252879942520886	-0.260290992032848	-4.82163733276644e-17	4.82163733276644e-17	-0.201561719929272	4.82163733276644e-17	-0.201580392918726	-4.82163733276644e-17	4.82163733276644e-17	0.473492883020562	0.197325402968788	0.779612303286641	0.199761547324075	0.245742513034078	0	0	0.201520546860491	-0.21175166712945	-4.82163733276644e-17	0.300505488804299	0	0	-4.82163733276644e-17	0.201583026754027	-2.35377914452396	-0.384261051565344	0.764671301617388	-0.865095074651131	-4.82163733276644e-17	-0.702115150419127	0.200832653675982	-4.82163733276644e-17	0.594333084161651	4.82163733276644e-17	0	-0.786224380602978	0.269303688230345	-0.642238634424826	1.19056033569496	-0.30670149276029	-0.347913868585518	-0.201072656597046	0.200472153538083	0.201417952124793	0.380265676014287	0	-0.200472153538083	-0.402251994781486	0.736531052601478	0.382097656325692	-0.411472346428406	-0.659687988891228	0.255319153255312	-0.44191261807396	4.82163733276644e-17	-0.233321224500505	0.241129144768121	1.39063228055963	-0.190547360416236	0.526339572749491	0.209830996367926
"GO_PYRIMIDINE_NUCLEOSIDE_METABOLIC_PROCESS"	-0.200979288237024	-4.82163733276644e-17	0	0.202870050912323	0.155590461489059	0	-4.82163733276644e-17	-0.270018672570759	-4.82163733276644e-17	4.82163733276644e-17	0	0.365032979743473	-0.455692927751845	0	1.01224790708211	-0.409514647081862	0.197500859789052	0.340012968304108	0	0.497038583569922	0.346030550883536	0	-1.30173361442523	0.649779176388208	-2.40913769099249	0	0.949514401865282	0	2.49598150775395	0.275280950716476	-4.82163733276644e-17	4.82163733276644e-17	4.82163733276644e-17	-4.82163733276644e-17	-4.82163733276644e-17	0	0	0	0	0	-4.82163733276644e-17	0	-4.82163733276644e-17	0	-0.406404526376367	4.82163733276644e-17	-0.251822035867837	-1.10358640716654	0	0	4.82163733276644e-17	0	0	0	0	0	0	0	0	0.425628182651009	0.711017636901859	0.359820349878071	0.439239956216032	-4.82163733276644e-17	-4.82163733276644e-17	0	0.44452147179016	0	-4.82163733276644e-17	0	0	-0.35345556739882	-0.335305878856945	-0.374425098899702	-4.82163733276644e-17	0	0	-0.280680884555181	-4.82163733276644e-17	4.82163733276644e-17	4.82163733276644e-17	0	-4.82163733276644e-17	0.264046564193033	0	0.952534553995059	0	0.375795838184236	0	4.82163733276644e-17	4.82163733276644e-17	4.82163733276644e-17	0	0.439239956216032	0	0	0	-4.82163733276644e-17	-2.03385217271658	-0.533213221453972	0.937090501490346	-1.04054704564574	0	-0.379952942252244	0	0	0.759322340483131	0	0	-0.422327985114054	0.403330301686756	0	0.919103894679163	-0.446304336164678	0	-4.82163733276644e-17	4.82163733276644e-17	-4.82163733276644e-17	0.201612634867729	0	-4.82163733276644e-17	-0.553033024738737	0.907947045066794	0.530822301464115	-0.232317637105466	-0.358534152777365	0	-4.82163733276644e-17	0	-0.361113275528429	0.370356881918093	2.00594781650928	4.82163733276644e-17	0.687214967944856	0
"GO_PYRIMIDINE_NUCLEOBASE_METABOLIC_PROCESS"	-0.445016549636699	4.82163733276644e-17	0	-0.828938147389183	2.34344877325282	-0.366614774179598	0	0	0	4.82163733276644e-17	0	-4.82163733276644e-17	0	4.82163733276644e-17	0.723555547019178	-0.751726139775639	-4.82163733276644e-17	0.668778486448328	0	0	-4.82163733276644e-17	-2.20320802980355	-0.877099077207921	1.32320315120069	-4.82163733276644e-17	0	0	0	2.16742699791232	4.82163733276644e-17	-4.82163733276644e-17	-0.895516639387902	0	0	4.82163733276644e-17	0	4.82163733276644e-17	0	0.444302857682393	0	-0.83808914259201	0	4.82163733276644e-17	0.670229991596003	4.82163733276644e-17	4.82163733276644e-17	0	-0.772454291697731	0	-4.82163733276644e-17	0	0	0	-4.82163733276644e-17	0	0	4.82163733276644e-17	0	0	0	4.82163733276644e-17	0.692763684278398	0.786286955947546	0	-4.82163733276644e-17	-4.82163733276644e-17	0.792378945697124	0	0	0	0	4.82163733276644e-17	-0.66303273268416	-0.710262177422043	-0.72186641733376	-0.732123340331415	0	0	-4.82163733276644e-17	0	0	4.82163733276644e-17	0	0.573473220535501	0	1.34053000224383	0	4.82163733276644e-17	0	0	-4.82163733276644e-17	-0.66303273268416	0	4.82163733276644e-17	0	4.82163733276644e-17	0	0	-0.800661790569171	0	0	0	0	0	4.82163733276644e-17	0	4.82163733276644e-17	0	0	0	0	4.82163733276644e-17	4.82163733276644e-17	0	0	4.82163733276644e-17	-4.82163733276644e-17	0	4.82163733276644e-17	0	0	4.82163733276644e-17	4.82163733276644e-17	4.82163733276644e-17	0	-0.691215288039407	4.82163733276644e-17	4.82163733276644e-17	0	-0.694318953819205	0.705403020492546	0.543336046021171	4.82163733276644e-17	1.06112553647777	4.82163733276644e-17
