"V1"	"V2"	"V3"	"V4"
"cortest2"	"DRUG_NAME"	"TC"	"Correlation"	"PValue"
"info"	"2"	"V1"	"0.0580224322623668"	"0.199704903570639"
"info"	"2"	"V2"	"0.0931697711556376"	"0.0392747122301598"
"info"	"2"	"V3"	"0.0119753350491152"	"0.791385403061021"
"info"	"2"	"V4"	"-0.0515467861221563"	"0.254654655728118"
"info"	"2"	"V5"	"0.00810153807462213"	"0.857981418733919"
"info"	"2"	"V6"	"-0.0386476574462473"	"0.393175139017983"
"info"	"2"	"V7"	"0.0150782578432365"	"0.739092625503879"
"info"	"2"	"V8"	"-0.0157218073748356"	"0.728387325324734"
"info"	"2"	"V9"	"0.0762078336063139"	"0.0919684487540309"
"info"	"2"	"V10"	"0.0864330905463752"	"0.0559003475627888"
"info"	"2"	"V11"	"0.0348426363445081"	"0.441439268968966"
"info"	"2"	"V12"	"0.0121915109827516"	"0.787708668242958"
"info"	"2"	"V13"	"-0.0140497582260581"	"0.756305917404456"
"info"	"2"	"V14"	"0.0204983485547997"	"0.650697444122504"
"info"	"2"	"V15"	"0.0941396137735515"	"0.0372670590052547"
"info"	"2"	"V16"	"-0.0028281439728433"	"0.950191917687441"
"info"	"2"	"V17"	"0.0596342010631917"	"0.187482513708723"
"info"	"2"	"V18"	"-0.0109745405828809"	"0.808466163436186"
"info"	"2"	"V19"	"0.0377174245363238"	"0.404670054972547"
"info"	"2"	"V20"	"-0.0268059239941655"	"0.553745399735636"
"info"	"2"	"V21"	"-0.063242472303929"	"0.162133222615966"
"info"	"2"	"V22"	"-0.0146837841120201"	"0.745679786850544"
"info"	"2"	"V23"	"0.0382937674322342"	"0.397524716797396"
"info"	"2"	"V24"	"-0.0395888750156271"	"0.38174764872087"
"info"	"2"	"V25"	"-0.00642732446092708"	"0.88710851072561"
"info"	"2"	"V26"	"-0.0708588996789139"	"0.117209654765616"
"info"	"2"	"V27"	"-0.0494732287311804"	"0.274284134258365"
"info"	"2"	"V28"	"0.0371038528438323"	"0.412360550919177"
"info"	"2"	"V29"	"0.0577483568921869"	"0.201839764845344"
"info"	"2"	"V30"	"-0.00809931949808168"	"0.858019898027125"
"info"	"2"	"V31"	"0.00990886628074413"	"0.826754708345319"
"info"	"2"	"V32"	"0.0242927096668201"	"0.591526209239215"
"info"	"2"	"V33"	"-0.088701612114796"	"0.0497464093514235"
"info"	"2"	"V34"	"0.0346184518906769"	"0.444384709792805"
"info"	"2"	"V35"	"0.00914773219250125"	"0.839875149291686"
"info"	"2"	"V36"	"0.0292270944508937"	"0.518500375908365"
"info"	"2"	"V37"	"-0.000837160918470461"	"0.985248178752987"
"info"	"2"	"V38"	"0.0812579090402285"	"0.0723286218935541"
"info"	"2"	"V39"	"0.0163674672597293"	"0.717699778866926"
"info"	"2"	"V40"	"0.0128088704888488"	"0.777234793002937"
"info"	"2"	"V41"	"0.0500086632401498"	"0.269119320850634"
"info"	"2"	"V42"	"-0.0960332500182593"	"0.033597529432061"
"info"	"2"	"V43"	"-0.0645031107835106"	"0.15391389559965"
"info"	"2"	"V44"	"-0.0253481027605986"	"0.575517017519822"
"info"	"2"	"V45"	"-0.0440153681068067"	"0.33077768780262"
"info"	"2"	"V46"	"-0.0289161690654932"	"0.522960941313829"
"info"	"2"	"V47"	"0.026220977350208"	"0.562432725802578"
"info"	"2"	"V48"	"0.0317879811180473"	"0.482521713410852"
"info"	"2"	"V49"	"0.0453600419368106"	"0.316206930057171"
"info"	"2"	"V50"	"0.0210666288188923"	"0.641681899611476"
"info"	"2"	"V51"	"0.0481565306102353"	"0.287270883597803"
"info"	"2"	"V52"	"0.045199655086423"	"0.317922447963587"
"info"	"2"	"V53"	"-0.0416783412237467"	"0.357115497217163"
"info"	"2"	"V54"	"-0.0595601222513898"	"0.188031906450118"
"info"	"2"	"V55"	"-0.059001582079426"	"0.192212424541659"
"info"	"2"	"V56"	"-0.0301166895319909"	"0.505847379383695"
"info"	"2"	"V57"	"-0.00810316142331026"	"0.857953263366796"
"info"	"2"	"V58"	"0.0885264527913463"	"0.0502004700508794"
"info"	"2"	"V59"	"0.010007295322868"	"0.825061423159295"
"info"	"2"	"V60"	"-0.0178159271825279"	"0.693925886794599"
"info"	"2"	"V61"	"-0.0414003698167153"	"0.360333587647523"
"info"	"2"	"V62"	"-0.00372872371339684"	"0.934362426218296"
"info"	"2"	"V63"	"0.0458591134351658"	"0.31090764960644"
"info"	"2"	"V64"	"-0.0530755476933946"	"0.240821626153424"
"info"	"2"	"V65"	"0.0448035580065184"	"0.322185171542811"
"info"	"2"	"V66"	"0.0782890748477469"	"0.0834106004041321"
"info"	"2"	"V67"	"-0.0696686604207744"	"0.123504257749833"
"info"	"2"	"V68"	"-0.0704243833467235"	"0.119477829341851"
"info"	"2"	"V69"	"-0.111391914291559"	"0.0136552482050429"
"info"	"2"	"V70"	"-0.0184345312559526"	"0.683861859361683"
"info"	"2"	"V71"	"0.0815785204061348"	"0.0712074055302384"
"info"	"2"	"V72"	"-0.126621955237136"	"0.00502613498083752"
"info"	"2"	"V73"	"0.0969291220476172"	"0.0319718346378752"
"info"	"2"	"V74"	"0.0130493966528073"	"0.773164916446122"
"info"	"2"	"V75"	"0.014643849734292"	"0.746347679553136"
"info"	"2"	"V76"	"0.00200424040199259"	"0.964691025161"
"info"	"2"	"V77"	"0.0629190471336298"	"0.16429428048525"
"info"	"2"	"V78"	"0.0128160673346995"	"0.777112927994838"
"info"	"2"	"V79"	"-0.0882242393772388"	"0.0509920366653629"
"info"	"2"	"V80"	"0.0559054232381719"	"0.216627150799833"
"info"	"2"	"V81"	"0.0937764706720161"	"0.0380083456915369"
"info"	"2"	"V82"	"-0.00183968695663879"	"0.967588396685497"
"info"	"2"	"V83"	"-0.089215618421082"	"0.0484337589084962"
"info"	"2"	"V84"	"0.0182425432177694"	"0.686979409901783"
"info"	"2"	"V85"	"-0.100073819014647"	"0.0267869552009172"
"info"	"2"	"V86"	"0.0550454813264446"	"0.22378719924108"
"info"	"2"	"V87"	"0.0284558956007844"	"0.52959996777334"
"info"	"2"	"V88"	"-0.00933566185896418"	"0.836631336516001"
"info"	"2"	"V89"	"-0.0505874952707152"	"0.263611254612864"
"info"	"2"	"V90"	"0.0222905796181221"	"0.62244378451832"
"info"	"2"	"V91"	"-0.122632413501179"	"0.00659873726989902"
"info"	"2"	"V92"	"-0.0324931637881725"	"0.472857535204949"
"info"	"2"	"V93"	"0.084801625114801"	"0.0607067556885217"
"info"	"2"	"V94"	"-0.0146344343119008"	"0.746505177910298"
"info"	"2"	"V95"	"-0.108878862299083"	"0.0159388880540359"
"info"	"2"	"V96"	"0.161950135174265"	"0.000324198775224864"
