"V112_GDSC"	"V227_GDSC"	"V150_GDSC"	"V52_GDSC"	"V381_GDSC"	"V33_GDSC"	"V368_GDSC"	"V191_GDSC"	"V314_GDSC"	"V120_GDSC"	"V90_GDSC"	"V183_GDSC"	"V108_GDSC"	"V206_GDSC"	"V277_GDSC"	"V186_GDSC"	"V443_GDSC"	"V123_GDSC"	"V414_GDSC"	"V336_GDSC"	"V379_GDSC"	"V58_GDSC"	"V7_GDSC"	"V424_GDSC"	"V418_GDSC"	"V428_GDSC"	"V213_GDSC"	"V214_GDSC"	"V45_GDSC"	"V249_GDSC"	"V354_GDSC"	"V342_GDSC"	"V17_GDSC"	"V56_GDSC"	"V228_GDSC"	"V171_GDSC"	"V173_GDSC"	"V30_GDSC"	"V20_GDSC"	"V265_GDSC"	"V207_GDSC"	"V247_GDSC"	"V246_GDSC"	"V47_GDSC"	"V302_GDSC"	"V62_GDSC"	"V200_GDSC"	"V440_GDSC"	"V280_GDSC"	"V239_GDSC"	"V162_GDSC"	"V143_GDSC"	"V93_GDSC"	"V419_GDSC"	"V189_GDSC"	"V138_GDSC"	"V238_GDSC"	"V68_GDSC"	"V233_GDSC"	"V9_GDSC"	"V269_GDSC"	"V266_GDSC"	"V441_GDSC"	"V434_GDSC"	"V224_GDSC"	"V19_GDSC"	"V359_GDSC"	"V422_GDSC"	"V115_GDSC"	"V193_GDSC"	"V208_GDSC"	"V165_GDSC"	"V161_GDSC"	"V395_GDSC"	"V34_GDSC"	"V442_GDSC"	"V211_GDSC"	"V5_GDSC"	"V301_GDSC"	"V217_GDSC"	"V102_GDSC"	"V129_GDSC"	"V425_GDSC"	"V259_GDSC"	"V35_GDSC"	"V275_GDSC"	"V86_GDSC"	"V282_GDSC"	"V287_GDSC"	"V457_GDSC"	"V149_GDSC"	"V399_GDSC"	"V378_GDSC"	"V460_GDSC"	"V83_GDSC"	"V329_GDSC"	"V130_GDSC"	"V53_GDSC"	"V413_GDSC"	"V278_GDSC"	"V355_GDSC"	"V406_GDSC"	"V87_GDSC"	"V95_GDSC"	"V445_GDSC"	"V2_GDSC"	"V242_GDSC"	"V288_GDSC"	"V91_GDSC"	"V417_GDSC"	"V404_GDSC"	"V296_GDSC"	"V344_GDSC"	"V333_GDSC"	"V88_GDSC"	"V101_GDSC"	"V230_GDSC"	"V28_GDSC"	"V57_GDSC"	"V109_GDSC"	"V174_GDSC"	"V163_GDSC"	"V339_GDSC"	"V97_GDSC"	"V225_GDSC"	"V114_GDSC"	"V164_GDSC"	"V32_GDSC"	"V51_GDSC"	"V132_GDSC"	"V160_GDSC"	"V73_GDSC"	"V119_GDSC"	"V311_GDSC"	"V323_GDSC"
"GO_PYRIMIDINE_NUCLEOSIDE_TRIPHOSPHATE_METABOLIC_PROCESS"	0	-0.379521455490106	0.493219712034496	4.82163733276644e-17	0	0.597802388023331	0	4.82163733276644e-17	4.82163733276644e-17	4.82163733276644e-17	4.82163733276644e-17	0	-0.902650890381677	-2.4805214441349	-1.55164842999127	0	4.82163733276644e-17	0	0	0	0	-0.855494031654674	4.82163733276644e-17	4.82163733276644e-17	-4.82163733276644e-17	4.82163733276644e-17	-0.782305527495582	0	0	0.645194287788571	0	4.82163733276644e-17	0	-4.82163733276644e-17	1.08360336540825	0.613306234298304	0	0	0	1.31375749944092	0	0	0.784453775993966	0.970263725259931	4.82163733276644e-17	0	0	0	0	0	-4.82163733276644e-17	0.703684277333396	4.82163733276644e-17	1.65833399047478	0	0	0.601610822449026	0.667729184453533	4.82163733276644e-17	0	4.82163733276644e-17	4.82163733276644e-17	0	0	0	4.82163733276644e-17	0	0	-4.82163733276644e-17	0	0	0	0	-4.82163733276644e-17	0.572314942434792	0	-0.688525206883739	4.82163733276644e-17	-0.494127040040977	4.82163733276644e-17	0	0	0	-4.82163733276644e-17	0	-0.661573774991406	-4.82163733276644e-17	-4.82163733276644e-17	0	-4.82163733276644e-17	0	0	0.728640213594442	-4.82163733276644e-17	4.82163733276644e-17	-4.82163733276644e-17	-4.82163733276644e-17	-4.82163733276644e-17	-4.82163733276644e-17	0	4.82163733276644e-17	0	0.568831738498784	-1.08360336540825	-0.737994548038471	-4.82163733276644e-17	4.82163733276644e-17	0	0.572314942434792	-4.82163733276644e-17	-0.823032236838767	0.502418247666321	0.956442213206452	4.82163733276644e-17	0.572314942434792	0	1.15519730065206	0.628181076237781	0	0	0	4.82163733276644e-17	0	-4.82163733276644e-17	-4.82163733276644e-17	0	0.608057334520078	0.751514141123958	1.32639390980556	0	0	-0.590315185096433	1.17233945778164	1.15519730065206	-3.29137635471327
"GO_PYRIMIDINE_RIBONUCLEOSIDE_TRIPHOSPHATE_METABOLIC_PROCESS"	0	-0.498983190365968	0	0	0	0.731310508489359	0	-4.82163733276644e-17	-4.82163733276644e-17	4.82163733276644e-17	4.82163733276644e-17	4.82163733276644e-17	0	-4.82163733276644e-17	0	0	4.82163733276644e-17	0	0	0	-4.82163733276644e-17	0	0	0	0	4.82163733276644e-17	-0.92240390597676	0	0	0.780724570981319	0	0	4.82163733276644e-17	4.82163733276644e-17	1.22949990995488	0.747505730826889	0	0	4.82163733276644e-17	1.59795805520296	4.82163733276644e-17	4.82163733276644e-17	0	0	0	0	0	0	0	0	4.82163733276644e-17	0.841370918514078	0	1.80824908093267	0	0	0.735291597178676	0.80413136285219	4.82163733276644e-17	0	4.82163733276644e-17	-4.82163733276644e-17	0	-4.82163733276644e-17	0	4.82163733276644e-17	0	4.82163733276644e-17	-4.82163733276644e-17	0	0	4.82163733276644e-17	0	-4.82163733276644e-17	0.704618030310802	0	-0.825685570245485	-4.82163733276644e-17	-0.622121167235447	4.82163733276644e-17	0	-4.82163733276644e-17	0	0	0	-0.797743140424609	-4.82163733276644e-17	4.82163733276644e-17	0	0	0	0	4.82163733276644e-17	0	-4.82163733276644e-17	0	4.82163733276644e-17	0	0	0	0	0	0.700963186216261	-1.22949990995488	-0.876795922105443	0	-4.82163733276644e-17	0	0.704618030310802	4.82163733276644e-17	-0.964196783637935	0.63091836847821	1.10041169123497	4.82163733276644e-17	4.82163733276644e-17	0	1.30194132793554	0.76301611059639	0	-4.82163733276644e-17	4.82163733276644e-17	0	0	-4.82163733276644e-17	0	-4.82163733276644e-17	0.742026147520474	0.890727470522362	1.47465792036404	0	4.82163733276644e-17	-0.72347837684549	1.31926543528994	1.30194132793554	-3.6026628589152
"GO_PYRIMIDINE_RIBONUCLEOSIDE_METABOLIC_PROCESS"	0	-0.250005533745618	-0.470126524288305	0	0	0.444592495499233	0	-4.82163733276644e-17	-4.82163733276644e-17	0	0	-4.82163733276644e-17	-1.75722810483607	0	0	4.82163733276644e-17	-0.609582549872807	-4.82163733276644e-17	4.82163733276644e-17	1.0770364496904	-2.98899503148025	0	-0.778432999054132	0.937186903103118	0.480479249533216	0.56675633713041	-0.617637222428809	4.82163733276644e-17	4.82163733276644e-17	0.488490178868171	0	0	4.82163733276644e-17	4.82163733276644e-17	0.908692309482242	0.458903886235915	0	4.82163733276644e-17	4.82163733276644e-17	1.77783382061888	4.82163733276644e-17	0	0	4.82163733276644e-17	0	0	-4.82163733276644e-17	-4.82163733276644e-17	0	0	0	0.543232691428223	0	1.47624129711405	0.492578284165015	-4.82163733276644e-17	0.448103360550567	1.28633158476189	4.82163733276644e-17	0	0	0	0	-4.82163733276644e-17	0	0	0	0	0	0	0	-4.82163733276644e-17	-4.82163733276644e-17	0	0.421177863242277	0	-0.528990229486774	-4.82163733276644e-17	-0.350342469859789	0	0	0	-0.570263527569999	0	0	-0.503761297051342	0	0	4.82163733276644e-17	-4.82163733276644e-17	1.11198833015349	0	0.56675633713041	-0.506623216932183	0	4.82163733276644e-17	4.82163733276644e-17	0	0	0	0	4.82163733276644e-17	0.417989321407248	-0.908692309482242	-0.575597236567197	0	-4.82163733276644e-17	0	1.0954405588002	4.82163733276644e-17	-0.656491470478761	0.357775201027834	0.784951455368063	0	-4.82163733276644e-17	0	0.978777158732299	-0.877928460468601	0	4.82163733276644e-17	-4.82163733276644e-17	1.17214827930534	-4.82163733276644e-17	-0.46383800247709	0	0	0.454053116901906	1.45414201098026	1.14725980358911	0.475257114427534	0	-1.13143305259373	2.29939965242302	0.978777158732299	-2.91790322272723
"GO_PYRIMIDINE_RIBONUCLEOTIDE_METABOLIC_PROCESS"	0	-0.34368903593571	-0.583679066828736	0	0	0.556528948111955	0	0	-4.82163733276644e-17	4.82163733276644e-17	0	0	0	0	-4.82163733276644e-17	0	-0.730065222431699	0	0	0.522485388888402	0	0	0	0	4.82163733276644e-17	0	-0.738440940319487	0	4.82163733276644e-17	0.603128199231203	0	0	0	0	1.03744106604413	0.571762035930118	0	4.82163733276644e-17	0	2.15958998424115	0	0	4.82163733276644e-17	-4.82163733276644e-17	0	0	4.82163733276644e-17	0	0	-4.82163733276644e-17	4.82163733276644e-17	0.660770550560836	4.82163733276644e-17	1.6105700205962	1.49970227091179	0	0.560269791530841	1.53734741589795	0	0	0	4.82163733276644e-17	-4.82163733276644e-17	0	4.82163733276644e-17	0	4.82163733276644e-17	0	0.665903114623394	-0.619256724877953	0	0	0	0	0.531512796718956	0	-0.645818577228045	0	-0.455003484235065	0	-4.82163733276644e-17	0	0	0	0	-0.619256724877953	0	0	0	0	-4.82163733276644e-17	0	0	4.82163733276644e-17	0	0	0	0	0	-4.82163733276644e-17	0	0	0.528096657010712	-1.03744106604413	-0.69464168936492	4.82163733276644e-17	4.82163733276644e-17	4.82163733276644e-17	0.531512796718956	0	-0.778746367304249	0.463098129937941	0.911045360688168	0	0	0	1.10869782814136	0.586387759309133	-4.82163733276644e-17	0	0	0	4.82163733276644e-17	0	0	4.82163733276644e-17	0.566603505817538	1.71048422491406	1.27928888835186	4.82163733276644e-17	0	-0.549176729855394	1.12576755299218	1.10869782814136	-3.19300210485761
"GO_GTP_METABOLIC_PROCESS"	0	0	-4.82163733276644e-17	0	0	4.82163733276644e-17	0	0	0.788344192635133	4.82163733276644e-17	0	0	0	0	-4.82163733276644e-17	0	-0.730065222431699	-1.32394411159694	0	4.82163733276644e-17	0	0	0.725949881721955	0	-1.2023099514529	0	-0.738440940319487	0	4.82163733276644e-17	1.4905855959063	0	-0.619256724877953	0	0	1.03744106604413	-1.52624534735445	0	-0.502050876566449	0	0	0	0	4.82163733276644e-17	-4.82163733276644e-17	0	0	4.82163733276644e-17	0	0	-4.82163733276644e-17	4.82163733276644e-17	0.660770550560836	4.82163733276644e-17	1.6105700205962	-4.82163733276644e-17	0	0.560269791530841	0.625320657428883	0	0	0	4.82163733276644e-17	-4.82163733276644e-17	0	1.29372109644551	0	4.82163733276644e-17	0	0	4.82163733276644e-17	0	0.586387759309133	0	0	0.531512796718956	0	-0.645818577228045	0	-0.455003484235065	0	-4.82163733276644e-17	0	0	0	0	-0.619256724877953	0	0	-0.636203284595024	0	-4.82163733276644e-17	0	0	4.82163733276644e-17	0	0	0	-0.818738723128457	0	-4.82163733276644e-17	0	0	0.528096657010712	-1.03744106604413	-0.69464168936492	4.82163733276644e-17	0.774040350106773	4.82163733276644e-17	0.531512796718956	0	-0.778746367304249	0.463098129937941	0.911045360688168	0	0	0	1.10869782814136	0.586387759309133	-4.82163733276644e-17	0	0	-1.32394411159694	-1.20938909292439	0	0	4.82163733276644e-17	0.566603505817538	1.71048422491406	4.6956330683802	4.82163733276644e-17	0	-0.549176729855394	1.12576755299218	1.10869782814136	-3.19300210485761
"GO_NUCLEOSIDE_DIPHOSPHATE_KINASE_ACTIVITY"	0	-4.82163733276644e-17	0	4.82163733276644e-17	0	0	0	0	4.82163733276644e-17	4.82163733276644e-17	0	0	0	4.82163733276644e-17	0	0	-1.95601081595332	0	0	0	-4.82163733276644e-17	-0.906127715940976	0	0	0	0	-0.832207311096046	0	0	0.693281156279657	-4.82163733276644e-17	0	4.82163733276644e-17	4.82163733276644e-17	-4.82163733276644e-17	0	0	0	4.82163733276644e-17	0	4.82163733276644e-17	4.82163733276644e-17	0.834379075644139	0	4.82163733276644e-17	0	-4.82163733276644e-17	0	4.82163733276644e-17	0	0	0.752627297271094	0	1.71215075777949	0.697740157256178	0	0.648964212600464	0.716162100770533	0	0	0	0	0	0	0	0	0	0	0.757898819841334	-0.709914272980437	0	0.67599213036722	0	0	2.63952142562585	0	-0.737259179592563	0	-0.53923031452792	-4.82163733276644e-17	-4.82163733276644e-17	0	-4.82163733276644e-17	0	0	-0.709914272980437	4.82163733276644e-17	0	-0.72736706718718	4.82163733276644e-17	0	4.82163733276644e-17	0	0	4.82163733276644e-17	4.82163733276644e-17	4.82163733276644e-17	4.82163733276644e-17	-4.82163733276644e-17	4.82163733276644e-17	0.722521743421642	0	4.82163733276644e-17	-1.13581517729079	-0.787380562212166	0	0.868558085490697	0	0.61912248761692	4.82163733276644e-17	-0.873358265178732	0.547721413908179	1.00788550392706	-4.82163733276644e-17	0.61912248761692	0	1.20774732575703	0.67599213036722	0	-4.82163733276644e-17	4.82163733276644e-17	0.658184715735349	0	0	-4.82163733276644e-17	0	0.655524902898471	0	1.37955088081649	0	0	-0.637463454373211	4.82163733276644e-17	1.20774732575703	-3.4026427629679
"GO_PYRIMIDINE_NUCLEOTIDE_METABOLIC_PROCESS"	0	-0.965849790512445	-0.351636605562634	0	4.82163733276644e-17	0.328502705208485	-0.556770873928394	0.713510852676893	-1.01744526461417	-4.82163733276644e-17	-0.206191870465414	0.191393815238189	-0.597627194703043	-2.36225330793395	-0.948681681505237	0	-1.22051252456736	4.82163733276644e-17	0	0.821997166810194	4.82163733276644e-17	-1.37818212946747	4.82163733276644e-17	4.82163733276644e-17	0	0.440628409899877	-0.488243693066462	-4.82163733276644e-17	0	0.368381855327812	-0.324341949386359	0	0	0	0.767118073400403	0.341446630821551	0	0	0	2.13644608180711	0.284743651116356	0	0.490166260420807	0.660361411536404	0	4.82163733276644e-17	0	0.264231806254322	0	0	0	0.418776578889988	0	1.32597993397701	0.983765159469991	-4.82163733276644e-17	0.331672712985469	1.01805491918256	0	0	0	0	-4.82163733276644e-17	0.508051284942331	0.799347625754743	0	0	0	0.42331503581947	-0.382371085136672	0	-4.82163733276644e-17	-4.82163733276644e-17	-4.82163733276644e-17	-0.976596223320653	4.82163733276644e-17	-0.405601113108434	0	-0.244911957773344	-4.82163733276644e-17	-4.82163733276644e-17	0	0	4.82163733276644e-17	0	-0.382371085136672	-4.82163733276644e-17	0	4.82163733276644e-17	0	0	-4.82163733276644e-17	0.440628409899877	0	0	4.82163733276644e-17	0	0	0	0	0	4.82163733276644e-17	0.304602185265376	-0.767118073400403	-0.448868680176688	0	0	0	0.307455247606134	-4.82163733276644e-17	-0.524890608495951	0.251385157171046	0.647473038066699	-4.82163733276644e-17	0.307455247606134	-1.19986846716273	0.835387105661795	0.35396032229546	0	0	-4.82163733276644e-17	0	0	0	1.10367929342124	-4.82163733276644e-17	-1.12566455322248	1.17767137553242	1.00059114082453	-1.02615111913276	0	-0.322289248528988	2.00036685220806	0.835387105661795	-2.6122593080033
"GO_PYRIMIDINE_CONTAINING_COMPOUND_METABOLIC_PROCESS"	0	-0.837227327038334	0	0.341092258632112	-0.201288667278316	4.82163733276644e-17	-0.956386319742892	0.502093901049768	-0.788628607444079	0	0	0.754088037474422	-1.84150978675948	-2.94728857638762	-1.73428080804331	-4.82163733276644e-17	-1.48057320125172	0.201238830485046	0	0.918583786209524	-1.85841917781627	-1.70821593164221	-0.436308105176254	0.577402523428505	4.82163733276644e-17	0.731984952277913	0.877910755857824	0.201129678433041	0	0.203641323463874	0	-4.82163733276644e-17	-0.357071752315733	0	0.551596749843737	0	-4.82163733276644e-17	0.707440957171818	0	1.32250778448637	0	0.197818309654879	0.303693379085452	0.453613724978789	0	0	-0.200874154702834	0.400796585596112	-0.394888268754998	-0.201638954998706	-0.216815563621865	0.69019785785209	0	1.08879528292323	0.601571044312579	0.241663532029283	0	0.630979966771842	0	0	-0.196082152721836	-0.200802663446344	-0.200027366456033	0.318978731810149	0.448052380183069	-0.198104037956664	0	-4.82163733276644e-17	0.247813802961291	-0.214720756087884	0	0.201590507678377	0.267536441259826	-4.82163733276644e-17	-0.749429450654657	0.659675067631	-0.665083619193298	0.205601805042453	-0.181406795721336	0.201378737616654	0.247813802961291	4.82163733276644e-17	-1.36670438966383	-0.805574659058448	0.213682885289002	-0.214720756087884	0.239258764566105	-0.851697342407294	-1.22171117263159	0	0.493025867922123	0	0.731984952277913	-0.216815563621865	0.201630469563446	0	-0.19721861287378	0	0	-4.82163733276644e-17	0	0	0.475093907466	0.625946048700105	-0.268923848365626	0	0.329772980222448	4.82163733276644e-17	0.480386788326608	0	-0.333485832699743	0.183788024576199	0.441958450704081	0.201378737616654	0	-0.965383059337539	0.615385787806222	0.567321774549535	-4.82163733276644e-17	-0.357071752315733	0.218936154773244	1.041391402709	0	0	2.04157964031191	0.260739912743795	-0.893190312793165	1.41913765592878	0.772435386802748	-0.797003535790521	4.82163733276644e-17	-0.988485812615215	2.6232972947185	0.615385787806222	-2.13277342052412
"GO_PYRIMIDINE_NUCLEOSIDE_METABOLIC_PROCESS"	0	-0.408076165573718	-0.304866328674603	4.82163733276644e-17	-4.82163733276644e-17	0.28297063601246	-1.26567537273135	0	4.82163733276644e-17	4.82163733276644e-17	-0.200855992686236	0.390298104966495	-2.33638150821834	-1.37086831454004	-0.842087776561171	0	-1.10628027306417	0	0	0.72017630935456	-2.35407716554885	-1.26069285970626	-0.584584086491328	0.735464452759676	0.313818299849073	-0.590713686295721	0.462982091651597	4.82163733276644e-17	0	0.320773329158416	0	0	-0.49759238489653	0	0.708163817185851	0.295209827615272	-4.82163733276644e-17	0	0	1.21377785093239	0	0	0	-4.82163733276644e-17	-4.82163733276644e-17	-4.82163733276644e-17	4.82163733276644e-17	0.642032100143863	0	0	-0.336602889533934	0.368903327515595	0	1.26232920235982	0.32433176919038	0	0.285965162969733	0.909214499708153	0	4.82163733276644e-17	0	0	0	0.454938651750571	0	4.82163733276644e-17	4.82163733276644e-17	0	0	4.82163733276644e-17	0	0	0.396200244524514	0	-0.915108492143899	0.941417244876579	-0.947466070538953	0.323139502487648	-0.204802979800141	0	-4.82163733276644e-17	-0.30707092200288	-0.393020753697749	0	4.82163733276644e-17	-0.334096749136942	4.82163733276644e-17	0	-0.929501957769458	0	0.751324149149221	0	0.389879521499752	-0.336602889533934	0	4.82163733276644e-17	-4.82163733276644e-17	0	-4.82163733276644e-17	-4.82163733276644e-17	-4.82163733276644e-17	-4.82163733276644e-17	0.260457130841009	-0.708163817185851	-0.397804570603567	0	4.82163733276644e-17	0	0.736554087844946	-4.82163733276644e-17	-0.471257431915318	0.613691406309436	0.590713686295721	0	0	-1.13679912685818	0.775455677587747	-0.678787157228274	0	-4.82163733276644e-17	0	0.805356203627598	0	-0.299449152032217	0	0	-1.0630290667265	1.06445384744634	0.938889224354147	0.309297557649828	-4.82163733276644e-17	-1.41942202941659	3.14435373256499	0.775455677587747	-2.48328637245472
"GO_PYRIMIDINE_NUCLEOBASE_METABOLIC_PROCESS"	0	-0.379521455490106	4.82163733276644e-17	0.832723997050376	0	0.597802388023331	0	4.82163733276644e-17	4.82163733276644e-17	4.82163733276644e-17	4.82163733276644e-17	0	-0.902650890381677	-1.4303335745717	-1.55164842999127	0	-1.84978752853023	0	0	0	0	-0.855494031654674	4.82163733276644e-17	4.82163733276644e-17	-4.82163733276644e-17	-0.956442213206452	4.82163733276644e-17	0	0	4.82163733276644e-17	0	4.82163733276644e-17	0	-4.82163733276644e-17	0	0	0	1.25627560746448	0	1.31375749944092	0	0	-4.82163733276644e-17	0	4.82163733276644e-17	0	0	0	-0.89970922836548	0	-4.82163733276644e-17	0.703684277333396	-0.629566598459939	-0.695181869460737	0	0	0	0	4.82163733276644e-17	0	4.82163733276644e-17	4.82163733276644e-17	0	0	0	4.82163733276644e-17	0	0	-4.82163733276644e-17	0	0	0	0	-4.82163733276644e-17	0	0	-0.688525206883739	0.648114603858278	0	4.82163733276644e-17	0	0	0	-4.82163733276644e-17	0	0	-4.82163733276644e-17	-4.82163733276644e-17	-1.65190407915734	-4.82163733276644e-17	0.580591294112277	0	4.82163733276644e-17	-4.82163733276644e-17	4.82163733276644e-17	-4.82163733276644e-17	-4.82163733276644e-17	-4.82163733276644e-17	-4.82163733276644e-17	0	4.82163733276644e-17	0	0.568831738498784	0.664637739233743	-4.82163733276644e-17	-4.82163733276644e-17	0.818279295338691	0	0	-4.82163733276644e-17	0	-4.82163733276644e-17	0	4.82163733276644e-17	0	0	0	0	0	0	0	4.82163733276644e-17	0	-4.82163733276644e-17	-0.655526562478284	0	0	-4.82163733276644e-17	4.82163733276644e-17	0	0	-0.590315185096433	4.82163733276644e-17	-0.610671431658631	-4.82163733276644e-17
