ROW	GSM_IDENTIFIER	TYPE	TYPE_SIMPLIFIED	
1	X5500994172383112813929_G08.cel	Breast cancer	Breast cancer
2	X5500994158987071513209_C05.cel	Breast cancer	Breast cancer
3	X5500994172383112813929_E09.cel	Breast cancer	Breast cancer
4	X5500994172383112813929_G10.cel	Breast cancer	Breast cancer
5	X5500994172948120113978_A09.cel	Breast cancer	Breast cancer
6	X5500994158987071513209_G08.cel	Breast cancer	Breast cancer
7	X5500994173212120213068_G06.cel	Breast cancer	Breast cancer
8	X5500994175999120813240_D01.cel	Breast cancer	Breast cancer
9	X5500994172383112813929_H10.cel	Breast cancer	Breast cancer
10	X5500994172948120113978_F09.cel	Breast cancer	Breast cancer
11	X5500994172383112813929_A12.cel	Breast cancer	Breast cancer
12	X5500994157493061613625_B05.cel	Breast cancer	Breast cancer
13	X5500994175999120813240_B06.cel	Breast cancer	Breast cancer
14	X5500994158987071513209_D05.cel	Breast cancer	Breast cancer
15	X5500994158987071513207_F12.cel	Breast cancer	Breast cancer
16	X5500994172383112813929_E10.cel	Breast cancer	Breast cancer
17	X5500994172383112813929_F10.cel	Breast cancer	Breast cancer
18	X5500994172383112813928_H07.cel	Breast cancer	Breast cancer
19	X5500994172383112813929_A09.cel	Breast cancer	Breast cancer
20	X5500994172383112813929_A11.cel	Breast cancer	Breast cancer
21	X5500994158987071513209_A05.cel	Breast cancer	Breast cancer
22	X5500994157493061613625_A10.cel	Breast cancer	Breast cancer
23	X5500994158987071513209_A08.cel	Breast cancer	Breast cancer
24	X5500994172383112813929_A01.cel	Breast cancer	Breast cancer
25	X5500994172383112813928_C01.cel	Breast cancer	Breast cancer
26	X5500994158987071513207_C04.cel	Breast cancer	Breast cancer
27	X5500994158987071513209_G11.cel	Breast cancer	Breast cancer
28	X5500994158987071513201_G10.cel	Breast cancer	Breast cancer
29	X5500994172383112813929_H08.cel	Breast cancer	Breast cancer
30	X5500994172383112813928_D01.cel	Breast cancer	Breast cancer
31	X5500994158987071513209_D06.cel	Breast cancer	Breast cancer
32	X5500994157493061613625_C06.cel	Breast cancer	Breast cancer
33	X5500994172948120113978_H01.cel	Breast cancer	Breast cancer
34	X5500994173603120813304_G10.cel	Breast cancer	Breast cancer
35	X5500994158987071513202_B11.cel	Breast cancer	Breast cancer
36	X5500994158987071513207_C06.cel	Breast cancer	Breast cancer
37	X5500994172948120113978_G04.cel	Breast cancer	Breast cancer
38	X5500994157493061613625_A01.cel	Breast cancer	Breast cancer
39	X5500994172383112813929_E12.cel	Breast cancer	Breast cancer
40	X5500994158987071513207_F01.cel	Breast cancer	Breast cancer
41	X5500994175999120813240_B09.cel	Breast cancer	Breast cancer
42	X5500994158987071513207_F02.cel	Breast cancer	Breast cancer
43	X5500994157493061613625_F04.cel	Breast cancer	Breast cancer
