"GROUP"	"LABEL"
"1"	50	"GSM1014809"
"2"	50	"GSM131875"
"3"	50	"GSM1014799"
"4"	50	"GSM131865"
"5"	50	"GSM1014803"
"6"	50	"GSM131869"
"7"	50	"GSM1014813"
"8"	50	"GSM131879"
"9"	50	"GSM1014812"
"10"	50	"GSM131878"
"11"	50	"GSM1014798"
"12"	50	"GSM131864"
"13"	50	"GSM1014808"
"14"	50	"GSM131874"
"15"	50	"GSM1014801"
"16"	50	"GSM131867"
"17"	50	"GSM1014811"
"18"	50	"GSM131877"
"19"	50	"GSM1014802"
"20"	50	"GSM131868"
"21"	50	"GSM1014800"
"22"	50	"GSM131866"
"23"	50	"GSM1014810"
"24"	50	"GSM131876"
"25"	50	"GSM1014806"
"26"	50	"GSM131872"
"27"	50	"GSM1014816"
"28"	50	"GSM131882"
"29"	50	"GSM1014804"
"30"	50	"GSM131870"
"31"	50	"GSM1014814"
"32"	50	"GSM131880"
"33"	50	"GSM1014815"
"34"	50	"GSM131881"
"35"	50	"GSM1014805"
"36"	50	"GSM131871"
"37"	50	"GSM850036"
"38"	50	"GSM850041"
"39"	50	"GSM850026"
"40"	50	"GSM850046"
"41"	50	"GSM850025"
"42"	50	"GSM850027"
"43"	50	"GSM850039"
"44"	50	"GSM850037"
"45"	50	"GSM850030"
"46"	50	"GSM850055"
"47"	50	"GSM850035"
"48"	50	"GSM850024"
"49"	50	"GSM850043"
"50"	50	"GSM850032"
"51"	50	"GSM850054"
"52"	50	"GSM850029"
"53"	50	"GSM850051"
"54"	50	"GSM656561"
"55"	50	"GSM850031"
"56"	50	"GSM850044"
"57"	50	"GSM850049"
"58"	50	"GSM850042"
"59"	50	"GSM850048"
"60"	50	"GSM850052"
"61"	50	"GSM850033"
"62"	50	"GSM850045"
"63"	50	"GSM784878"
"64"	50	"GSM981281"
"65"	50	"GSM784862"
"66"	50	"GSM784892"
"67"	50	"GSM784905"
"68"	50	"GSM784904"
"69"	50	"GSM1486035"
"70"	50	"GSM1486039"
"71"	50	"GSM784875"
"72"	50	"GSM877179"
"73"	50	"GSM1486041"
"74"	50	"GSM1486031"
"75"	50	"GSM1486044"
"76"	50	"GSM1486038"
"77"	50	"GSM1486028"
"78"	50	"GSM1486029"
"79"	50	"GSM1486037"
"80"	50	"GSM1486043"
"81"	50	"GSM1486040"
"82"	50	"GSM1486046"
"83"	50	"GSM1486033"
"84"	50	"GSM1486045"
"85"	50	"GSM1486032"
"86"	50	"GSM1486042"
"87"	50	"GSM1486047"
"88"	50	"GSM1486036"
"89"	50	"GSM1486034"
"90"	50	"GSM784881"
"91"	50	"GSM784855"
"92"	50	"GSM784890"
"93"	50	"GSM784893"
"94"	50	"GSM784858"
"95"	50	"GSM784889"
"96"	50	"GSM784894"
"97"	50	"GSM784903"
"98"	50	"GSM784902"
"99"	50	"GSM784854"
"100"	50	"GSM784885"
"101"	50	"GSM784901"
"102"	50	"GSM784871"
"103"	50	"GSM784852"
"104"	50	"GSM877153"
"105"	50	"GSM877159"
"106"	50	"GSM877131"
"107"	50	"GSM877162"
"108"	50	"GSM877140"
"109"	50	"GSM784851"
"110"	50	"GSM784865"
"111"	50	"GSM782671"
"112"	50	"GSM877133"
"113"	50	"GSM877138"
"114"	50	"GSM877156"
"115"	50	"GSM877127"
"116"	50	"GSM877141"
"117"	50	"GSM877183"
"118"	50	"GSM877182"
"119"	50	"GSM877149"
"120"	50	"GSM877176"
"121"	50	"GSM877184"
"122"	50	"GSM877128"
"123"	50	"GSM877129"
"124"	50	"GSM784888"
"125"	50	"GSM877126"
"126"	50	"GSM877164"
"127"	50	"GSM877170"
"128"	50	"GSM877174"
"129"	50	"GSM877178"
"130"	50	"GSM877171"
"131"	50	"GSM784906"
"132"	50	"GSM877135"
"133"	50	"GSM877137"
"134"	50	"GSM877143"
"135"	50	"GSM877146"
"136"	50	"GSM877187"
"137"	50	"GSM877185"
"138"	50	"GSM877152"
"139"	50	"GSM877167"
"140"	50	"GSM877168"
"141"	50	"GSM877180"
"142"	50	"GSM784856"
"143"	50	"GSM877148"
"144"	50	"GSM877181"
"145"	50	"GSM877165"
"146"	50	"GSM877132"
"147"	50	"GSM877173"
"148"	50	"GSM877145"
"149"	50	"GSM877154"
"150"	50	"GSM877158"
"151"	50	"GSM784860"
"152"	50	"GSM877151"
"153"	50	"GSM877130"
"154"	50	"GSM877155"
"155"	50	"GSM877186"
"156"	50	"GSM877188"
"157"	50	"GSM877139"
"158"	50	"GSM877169"
"159"	50	"GSM784857"
"160"	50	"GSM877160"
"161"	50	"GSM877150"
"162"	50	"GSM877175"
"163"	50	"GSM877161"
"164"	50	"GSM877166"
"165"	50	"GSM877136"
"166"	50	"GSM784884"
"167"	50	"GSM784887"
"168"	50	"GSM782674"
"169"	50	"GSM784850"
"170"	50	"GSM877177"
"171"	50	"GSM877163"
"172"	50	"GSM877134"
"173"	50	"GSM877157"
"174"	50	"GSM784867"
"175"	50	"GSM784853"
"176"	50	"GSM784891"
"177"	27	"GSM710821"
"178"	27	"GSM710825"
"179"	27	"GSM335571"
"180"	27	"GSM335556"
"181"	27	"GSM335592"
"182"	27	"GSM335549"
"183"	27	"GSM335558"
"184"	27	"GSM335601"
"185"	27	"GSM638944"
"186"	27	"GSM335554"
"187"	27	"GSM955465"
"188"	27	"GSM335557"
"189"	27	"GSM335583"
"190"	27	"GSM656644"
"191"	27	"GSM1275097"
"192"	27	"GSM1275099"
"193"	27	"GSM656772"
"194"	27	"GSM656804"
"195"	27	"GSM335584"
"196"	27	"GSM929525"
"197"	27	"GSM972096"
"198"	27	"GSM231915"
"199"	27	"GSM1519418"
"200"	27	"GSM929526"
"201"	27	"GSM972099"
"202"	27	"GSM656844"
"203"	27	"GSM335582"
"204"	27	"GSM335613"
"205"	27	"GSM929567"
"206"	27	"GSM972033"
"207"	27	"GSM656834"
"208"	27	"GSM656857"
"209"	27	"GSM358609"
"210"	27	"GSM972190"
"211"	27	"GSM972260"
"212"	27	"GSM929514"
"213"	27	"GSM972123"
"214"	27	"GSM662634"
"215"	27	"GSM972130"
"216"	27	"GSM929529"
"217"	27	"GSM588845"
"218"	27	"GSM972271"
"219"	27	"GSM335589"
"220"	27	"GSM335610"
