GSM_IDENTIFIER	TYPE_NOVEL	CLASS	TYPE
GSM267364	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM267404	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM267352	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM267401	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM267338	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM267360	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM267381	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM267403	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM267331	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM267324	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM267339	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM267355	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM267407	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM267393	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM267371	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM267409	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM267321	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM267356	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM267396	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM267397	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM267395	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM267390	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM267374	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM267347	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM267369	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM267368	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM267372	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM267386	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM267387	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM267379	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM267400	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM267332	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM267399	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM267323	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM267376	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM272520	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM272540	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM272524	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM272559	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM272516	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM272517	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM272565	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM272512	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM272572	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM272501	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM272509	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM272500	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM272541	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM272556	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM272573	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM272508	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM272525	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM272550	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM272564	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM272511	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM272532	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM273201	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM273199	Leukemia	Tumor	Acute lymphoblastic leukemia
