"IMMUNE_CELLTYPE"	"TC"	"Correlation"	"PValue"
"1"	"B.cells.naive"	"V13"	0.186302295	1.09e-157
"2"	"B.cells.naive"	"V14"	-0.006985935	0.319999215
"3"	"B.cells.naive"	"V17"	-0.086249364	9e-35
"4"	"B.cells.naive"	"V23"	-0.148943113	7.24e-101
"5"	"B.cells.naive"	"V25"	0.128742071	1.24e-75
"6"	"B.cells.naive"	"V27"	-0.255488536	2.05e-299
"7"	"B.cells.naive"	"V37"	0.027351443	9.85e-05
"8"	"B.cells.naive"	"V40"	-0.032341545	4.12e-06
"9"	"B.cells.naive"	"V52"	0.048932773	3.18e-12
"10"	"B.cells.naive"	"V54"	0.124999991	2.26e-71
"11"	"B.cells.naive"	"V67"	0.018755153	0.007584461
"12"	"B.cells.naive"	"V68"	0.060453962	7.09e-18
"13"	"B.cells.naive"	"V83"	0.127755565	1.7e-74
"14"	"B.cells.naive"	"V94"	0.049014416	2.92e-12
"15"	"B.cells.naive"	"V100"	0.099374359	1.2e-45
"16"	"B.cells.naive"	"V112"	-0.063263359	1.98e-19
"17"	"B.cells.naive"	"V118"	0.001784444	0.799483438
"18"	"B.cells.naive"	"V119"	0.061947992	1.08e-18
"19"	"B.cells.naive"	"V140"	0.052416865	8.23e-14
"20"	"B.cells.naive"	"V142"	0.047674397	1.12e-11
"21"	"B.cells.naive"	"V149"	0.001231078	0.860887988
"22"	"B.cells.naive"	"V150"	0.069758169	2.73e-23
"23"	"B.cells.naive"	"V155"	0.131512497	7.2e-79
"24"	"B.cells.naive"	"V157"	0.120943804	6.68e-67
"25"	"B.cells.naive"	"V159"	-0.060375801	7.81e-18
"26"	"B.cells.naive"	"V166"	0.153565342	3.55e-107
"27"	"B.cells.naive"	"V180"	0.05737855	2.97e-16
"28"	"B.cells.naive"	"V184"	-0.163616965	1.35e-121
"29"	"B.cells.naive"	"V189"	-0.050139828	9.21e-13
"30"	"B.cells.naive"	"V190"	0.002098237	0.765180969
"31"	"B.cells.naive"	"V205"	0.049571668	1.65e-12
"32"	"B.cells.naive"	"V219"	0.086704936	4.01e-35
"33"	"B.cells.naive"	"V222"	0.050064755	9.95e-13
"34"	"B.cells.naive"	"V227"	0.038028932	6.12e-08
