"IMMUNE_CELLTYPE"	"TC"	"Correlation"	"PValue"
"1"	"B.cells.naive"	"V13"	0.129117575	4.57e-76
"2"	"B.cells.naive"	"V14"	-0.002140404	0.760604807
"3"	"B.cells.naive"	"V17"	0.036332689	2.3e-07
"4"	"B.cells.naive"	"V23"	-0.185482698	2.68e-156
"5"	"B.cells.naive"	"V25"	-0.034701116	7.76e-07
"6"	"B.cells.naive"	"V27"	-0.133061549	1.04e-80
"7"	"B.cells.naive"	"V37"	0.166550993	5.51e-126
"8"	"B.cells.naive"	"V40"	0.044163253	3.18e-10
"9"	"B.cells.naive"	"V52"	-0.044564297	2.2e-10
"10"	"B.cells.naive"	"V54"	0.06961078	3.37e-23
"11"	"B.cells.naive"	"V67"	0.023459189	0.000838166
"12"	"B.cells.naive"	"V68"	-0.069962679	2.03e-23
"13"	"B.cells.naive"	"V83"	-0.05435567	9.69e-15
"14"	"B.cells.naive"	"V94"	0.032242154	4.41e-06
"15"	"B.cells.naive"	"V100"	0.022334317	0.001474353
"16"	"B.cells.naive"	"V112"	-0.002469931	0.725142021
"17"	"B.cells.naive"	"V118"	0.03636261	2.24e-07
"18"	"B.cells.naive"	"V119"	-0.037330772	1.06e-07
"19"	"B.cells.naive"	"V140"	-0.110533215	4.09e-56
"20"	"B.cells.naive"	"V142"	0.010693977	0.127926329
"21"	"B.cells.naive"	"V149"	0.12372421	5.97e-70
"22"	"B.cells.naive"	"V150"	0.054329121	9.98e-15
"23"	"B.cells.naive"	"V155"	0.08223939	9.31e-32
"24"	"B.cells.naive"	"V157"	-0.066485928	2.67e-21
"25"	"B.cells.naive"	"V159"	-0.018316191	0.009119887
"26"	"B.cells.naive"	"V166"	-0.176676279	9.1e-142
"27"	"B.cells.naive"	"V180"	0.015931288	0.02333155
"28"	"B.cells.naive"	"V184"	-0.079755198	5.81e-30
"29"	"B.cells.naive"	"V189"	-0.066512462	2.58e-21
"30"	"B.cells.naive"	"V190"	0.045051955	1.4e-10
"31"	"B.cells.naive"	"V205"	0.066575186	2.37e-21
"32"	"B.cells.naive"	"V219"	0.124917733	2.79e-71
"33"	"B.cells.naive"	"V222"	-0.132495369	4.92e-80
"34"	"B.cells.naive"	"V227"	-0.180897466	1.22e-148
"35"	"B.cells.naive"	"V231"	0.049838905	1.26e-12
"36"	"B.cells.naive"	"V238"	0.039012771	2.77e-08
"37"	"B.cells.naive"	"V241"	-0.136372549	1.02e-84
"38"	"B.cells.naive"	"V255"	0.113	1.12e-58
"39"	"B.cells.naive"	"V256"	-0.0774	2.5e-28
"40"	"B.cells.naive"	"V260"	0.0139	0.048286219
"41"	"B.cells.naive"	"V261"	-0.133	4e-81
"42"	"B.cells.naive"	"V268"	0.0451	1.33e-10
"43"	"B.cells.naive"	"V270"	0.058	1.4e-16
"44"	"B.cells.naive"	"V281"	-0.0354	4.59e-07
"45"	"B.cells.naive"	"V284"	-0.153	3e-106
"46"	"B.cells.naive"	"V286"	0.0273	1e-04
"47"	"B.cells.naive"	"V287"	-0.0913	9.11e-39
"48"	"B.cells.naive"	"V294"	-0.000134	0.984733762
"49"	"B.cells.naive"	"V308"	0.0066	0.34776233
"50"	"B.cells.naive"	"V327"	0.149	6.93e-101
"51"	"B.cells.naive"	"V337"	0.00312	0.656795606
"52"	"B.cells.naive"	"V362"	-0.0134	0.05559539
"53"	"B.cells.naive"	"V370"	0.0318	6.08e-06
"54"	"B.cells.naive"	"V375"	-0.0178	0.011469204
"55"	"B.cells.naive"	"V385"	0.00178	0.799701161
"56"	"B.cells.naive"	"V386"	0.0423	1.72e-09
"57"	"B.cells.naive"	"V392"	-0.012	0.087796565
"58"	"B.cells.naive"	"V393"	0.0707	7.41e-24
"59"	"B.cells.naive"	"V400"	0.0634	1.61e-19
"60"	"B.cells.naive"	"V403"	-0.068	3.5e-22
"61"	"B.cells.naive"	"V405"	0.0389	3.15e-08
"62"	"B.cells.naive"	"V423"	0.141	9.28e-91
"63"	"B.cells.naive"	"V431"	-0.000324	0.963201181
"64"	"B.cells.naive"	"V435"	-0.0255	0.000277828
"65"	"B.cells.naive"	"V451"	-0.0907	2.75e-38
"66"	"B.cells.naive"	"V452"	0.157	1.2e-112
"67"	"B.cells.naive"	"V455"	0.0718	1.34e-24
"68"	"B.cells.naive"	"V458"	0.0499	1.19e-12
"69"	"B.cells.naive"	"V461"	0.0296	2.46e-05
"70"	"B.cells.naive"	"V464"	-0.0118	0.093701081
"71"	"B.cells.naive"	"V469"	-0.0656	8.5e-21
"72"	"B.cells.naive"	"V473"	0.0423	1.64e-09
"73"	"B.cells.naive"	"V479"	0.0209	0.002924477
"74"	"B.cells.naive"	"V484"	-0.0945	2.05e-41
"75"	"B.cells.naive"	"V493"	0.0344	9.46e-07
"76"	"B.cells.naive"	"V504"	-0.111	1.9e-56
"77"	"B.cells.naive"	"V519"	-0.0488	3.67e-12
"78"	"B.cells.naive"	"V527"	0.0957	1.93e-42
"79"	"B.cells.naive"	"V528"	0.0836	8.79e-33
"80"	"B.cells.naive"	"V533"	0.0621	8.4e-19
"81"	"B.cells.naive"	"V537"	-0.022	0.00177734
"82"	"B.cells.naive"	"V562"	-0.0997	6.2e-46
"83"	"B.cells.naive"	"V570"	-0.0923	1.3e-39
"84"	"B.cells.naive"	"V576"	0.0389	3.15e-08
"85"	"B.cells.naive"	"V590"	0.0225	0.001344413
"86"	"B.cells.naive"	"V592"	0.211	9.17e-202
"87"	"B.cells.naive"	"V611"	-0.0579	1.6e-16
"88"	"B.cells.naive"	"V625"	-0.0657	8.19e-21
"89"	"B.cells.naive"	"V626"	-0.0279	7.27e-05
"90"	"B.cells.naive"	"V628"	-0.158	7.66e-113
"91"	"B.cells.naive"	"V632"	-3.46e-05	0.996072598
"92"	"B.cells.naive"	"V645"	-0.0322	4.4e-06
"93"	"B.cells.naive"	"V648"	0.0396	1.75e-08
"94"	"B.cells.naive"	"V657"	0.146	6.06e-97
"95"	"B.cells.naive"	"V658"	0.105	7.33e-51
"96"	"B.cells.naive"	"V662"	-0.192	1.95e-167
"97"	"B.cells.naive"	"V663"	0.0448	1.83e-10
"98"	"B.cells.naive"	"V675"	-0.148	4.78e-99
"99"	"B.cells.naive"	"V677"	-0.204	1.28e-189
"100"	"B.cells.naive"	"V678"	0.0549	5.22e-15
"101"	"B.cells.naive"	"V681"	0.125	9.97e-72
"102"	"B.cells.naive"	"V684"	-0.0399	1.36e-08
"103"	"B.cells.naive"	"V689"	-0.0907	2.61e-38
"104"	"B.cells.naive"	"V702"	-0.104	5.31e-50
"105"	"B.cells.naive"	"V703"	-0.0824	6.88e-32
"106"	"B.cells.naive"	"V710"	0.0121	0.085501897
"107"	"B.cells.naive"	"V719"	-0.117	1.49e-62
"108"	"B.cells.naive"	"V723"	-0.134	4.04e-82
"109"	"B.cells.naive"	"V731"	-0.0532	3.58e-14
"110"	"B.cells.naive"	"V743"	-0.0231	0.000992717
"111"	"B.cells.naive"	"V746"	-0.154	1.72e-107
"112"	"B.cells.naive"	"V750"	-0.155	6.83e-109
"113"	"B.cells.naive"	"V759"	-0.126	1.41e-72
"114"	"B.cells.naive"	"V772"	0.0765	1.15e-27
"115"	"B.cells.naive"	"V774"	0.0234	0.000858841
"116"	"B.cells.naive"	"V790"	-0.00252	0.719709719
"117"	"B.cells.naive"	"V792"	-0.0815	3.21e-31
"118"	"B.cells.naive"	"V794"	-0.0601	1.06e-17
"119"	"B.cells.naive"	"V802"	0.028	6.79e-05
"120"	"B.cells.naive"	"V804"	-0.0123	0.079153353
"121"	"B.cells.naive"	"V810"	-0.0731	2.16e-25
"122"	"B.cells.naive"	"V814"	-0.135	6.92e-83
"123"	"B.cells.naive"	"V817"	-0.00533	0.447611102
"124"	"B.cells.naive"	"V820"	-0.0355	4.43e-07
"125"	"B.cells.naive"	"V821"	0.165	7.64e-124
"126"	"B.cells.naive"	"V822"	0.0157	0.025084184
"127"	"B.cells.naive"	"V823"	-0.0214	0.0022761
"128"	"B.cells.naive"	"V830"	-0.0202	0.003985566
"129"	"B.cells.naive"	"V834"	0.11	1.45e-55
"130"	"B.cells.naive"	"V838"	-0.102	1.31e-47
"131"	"B.cells.naive"	"V844"	-0.0477	1.08e-11
"132"	"B.cells.naive"	"V851"	0.0135	0.053989305
"133"	"B.cells.memory"	"V13"	0.171	2.15e-132
"134"	"B.cells.memory"	"V14"	-0.0186	0.008027765
"135"	"B.cells.memory"	"V17"	-0.398	0
"136"	"B.cells.memory"	"V23"	-0.142	2.4e-92
"137"	"B.cells.memory"	"V25"	0.38	0
"138"	"B.cells.memory"	"V27"	-0.0403	9.54e-09
"139"	"B.cells.memory"	"V37"	0.0676	5.73e-22
"140"	"B.cells.memory"	"V40"	-0.306	0
"141"	"B.cells.memory"	"V52"	0.042	2.14e-09
"142"	"B.cells.memory"	"V54"	0.279	0
"143"	"B.cells.memory"	"V67"	0.128	4.99e-75
"144"	"B.cells.memory"	"V68"	0.0715	2.06e-24
"145"	"B.cells.memory"	"V83"	0.305	0
"146"	"B.cells.memory"	"V94"	0.0818	1.83e-31
"147"	"B.cells.memory"	"V100"	0.258	1.97e-305
"148"	"B.cells.memory"	"V112"	-0.284	0
"149"	"B.cells.memory"	"V118"	-0.042	2.18e-09
"150"	"B.cells.memory"	"V119"	0.176	2.09e-141
"151"	"B.cells.memory"	"V140"	-0.0038	0.588732665
"152"	"B.cells.memory"	"V142"	0.219	9e-219
"153"	"B.cells.memory"	"V149"	0.019	0.006798258
"154"	"B.cells.memory"	"V150"	0.0465	3.41e-11
"155"	"B.cells.memory"	"V155"	0.241	1.35e-264
"156"	"B.cells.memory"	"V157"	0.424	0
"157"	"B.cells.memory"	"V159"	-0.0626	4.83e-19
"158"	"B.cells.memory"	"V166"	0.431	0
"159"	"B.cells.memory"	"V180"	0.0588	5.71e-17
"160"	"B.cells.memory"	"V184"	-0.305	0
"161"	"B.cells.memory"	"V189"	0.00112	0.873196006
"162"	"B.cells.memory"	"V190"	0.185	1.21e-154
"163"	"B.cells.memory"	"V205"	0.164	7.31e-123
"164"	"B.cells.memory"	"V219"	0.174	1.06e-137
"165"	"B.cells.memory"	"V222"	0.219	7.72e-219
"166"	"B.cells.memory"	"V227"	0.154	1.28e-107
"167"	"B.cells.memory"	"V231"	0.221	4.55e-222
"168"	"B.cells.memory"	"V238"	-0.416	0
"169"	"B.cells.memory"	"V241"	0.0875	9.73e-36
"170"	"B.cells.memory"	"V255"	-0.233	3.88e-247
