"IMMUNE_CELLTYPE"	"TC"	"Correlation"	"PValue"	"ABSCOR"
"1"	"Monocytes"	"V1002"	-0.812998877	0	0.812998877
"2"	"T.cells.CD8"	"V1108"	0.718	0	0.717986854
"3"	"T.cells.CD4.naive"	"V146"	0.667	0	0.667389116
"4"	"Macrophages.M1"	"V148"	0.665783832	0	0.665783832
"5"	"Macrophages.M1"	"V1108"	0.597264207	0	0.597264207
"6"	"Macrophages.M2"	"V143"	0.591840646	0	0.591840646
"7"	"Macrophages.M1"	"V455"	0.551009704	0	0.551009704
"8"	"B.cells.naive"	"V131"	-0.54903635	0	0.54903635
"9"	"Macrophages.M2"	"V360"	-0.53084014	0	0.53084014
"10"	"T.cells.CD8"	"V131"	-0.52	0	0.520253421
"11"	"Macrophages.M1"	"V1061"	-0.516387771	0	0.516387771
"12"	"B.cells.memory"	"V131"	-0.512	0	0.512473471
"13"	"T.cells.CD8"	"V455"	0.509	0	0.508951857
"14"	"T.cells.regulatory..Tregs."	"V1108"	0.508	0	0.508079456
"15"	"T.cells.follicular.helper"	"V1108"	0.501	0	0.501181357
"16"	"T.cells.follicular.helper"	"V131"	-0.495	0	0.495458967
"17"	"T.cells.regulatory..Tregs."	"V131"	-0.494	0	0.494349909
"18"	"Macrophages.M2"	"V738"	0.484829433	0	0.484829433
"19"	"Monocytes"	"V458"	0.483007642	0	0.483007642
"20"	"T.cells.follicular.helper"	"V146"	0.449	0	0.449485313
"21"	"Dendritic.cells.resting"	"V146"	0.447505183	0	0.447505183
"22"	"Macrophages.M2"	"V1108"	0.443284454	0	0.443284454
"23"	"Macrophages.M1"	"V357"	0.43604173	0	0.43604173
"24"	"NK.cells.resting"	"V671"	0.426	0	0.425959635
"25"	"Macrophages.M2"	"V1061"	-0.423749676	0	0.423749676
"26"	"T.cells.regulatory..Tregs."	"V455"	0.423	0	0.423188797
"27"	"T.cells.CD8"	"V671"	0.418	0	0.417814699
"28"	"Macrophages.M0"	"V1061"	-0.41527337	0	0.41527337
"29"	"T.cells.CD4.memory.activated"	"V1108"	0.41	0	0.40954637
"30"	"NK.cells.resting"	"V1108"	0.396	0	0.396329405
"31"	"B.cells.memory"	"V464"	0.396	0	0.396200037
"32"	"Mast.cells.activated"	"V670"	0.391402332	0	0.391402332
"33"	"NK.cells.resting"	"V148"	0.39	0	0.390058542
"34"	"T.cells.CD4.memory.activated"	"V148"	0.387	0	0.387205
"35"	"T.cells.CD8"	"V146"	0.383	0	0.383252428
"36"	"T.cells.CD4.memory.resting"	"V1108"	0.377	0	0.377245459
"37"	"Eosinophils"	"V1117"	0.376891363	0	0.376891363
"38"	"T.cells.CD4.memory.resting"	"V1061"	-0.377	0	0.376577663
"39"	"T.cells.CD4.memory.activated"	"V671"	0.372	0	0.371574131
"40"	"T.cells.CD4.memory.resting"	"V131"	-0.366	0	0.365779594
"41"	"Macrophages.M1"	"V671"	0.36349441	0	0.36349441
"42"	"Macrophages.M2"	"V455"	0.361782685	0	0.361782685
"43"	"B.cells.naive"	"V1108"	0.358326958	0	0.358326958
"44"	"T.cells.follicular.helper"	"V148"	0.347	3.6e-303	0.346722862
"45"	"T.cells.follicular.helper"	"V455"	0.346	1.26e-302	0.346429096
"46"	"Macrophages.M1"	"V131"	-0.339806897	1.6e-290	0.339806897
"47"	"NK.cells.resting"	"V131"	-0.338	1.93e-286	0.337536931
"48"	"T.cells.regulatory..Tregs."	"V1061"	-0.338	1.94e-286	0.337536356
"49"	"T.cells.regulatory..Tregs."	"V671"	0.337	6.4e-285	0.336686902
"50"	"Monocytes"	"V1117"	0.330955123	8.47e-275	0.330955123
"51"	"T.cells.CD8"	"V148"	0.328	3.3e-269	0.327735648
