"IMMUNE_CELLTYPE"	"TC"	"Correlation"	"PValue"
"1"	"B.cells.naive"	"V2"	-0.187177137	7.2e-86
"2"	"B.cells.naive"	"V8"	-0.067356319	2.34e-12
"3"	"B.cells.naive"	"V12"	-0.070949673	1.5e-13
"4"	"B.cells.naive"	"V28"	-0.003288562	0.732360173
"5"	"B.cells.naive"	"V36"	0.060439046	3.15e-10
"6"	"B.cells.naive"	"V46"	0.063899804	2.89e-11
"7"	"B.cells.naive"	"V55"	-0.060906763	2.3e-10
"8"	"B.cells.naive"	"V63"	-0.086611846	1.81e-19
"9"	"B.cells.naive"	"V67"	0.049170361	3.11e-07
"10"	"B.cells.naive"	"V82"	0.064654537	1.69e-11
"11"	"B.cells.naive"	"V116"	-0.06979535	3.67e-13
"12"	"B.cells.naive"	"V131"	-0.407	0
"13"	"B.cells.naive"	"V139"	-0.053	3.4e-08
"14"	"B.cells.naive"	"V143"	0.156	6.09e-60
"15"	"B.cells.naive"	"V146"	0.367	0
"16"	"B.cells.naive"	"V148"	0.246	2.98e-148
"17"	"B.cells.naive"	"V163"	-0.0894	1.25e-20
"18"	"B.cells.naive"	"V169"	-0.0376	9.16e-05
"19"	"B.cells.naive"	"V207"	0.0466	1.25e-06
"20"	"B.cells.naive"	"V215"	-0.0175	0.068227527
"21"	"B.cells.naive"	"V220"	0.0851	7.67e-19
"22"	"B.cells.naive"	"V240"	0.0704	2.29e-13
"23"	"B.cells.naive"	"V252"	-0.0185	0.054227477
"24"	"B.cells.naive"	"V253"	0.158	2.14e-61
"25"	"B.cells.naive"	"V257"	0.175	3.58e-75
"26"	"B.cells.naive"	"V269"	-0.0111	0.247568705
"27"	"B.cells.naive"	"V271"	-0.0642	2.33e-11
"28"	"B.cells.naive"	"V286"	0.00226	0.814341254
"29"	"B.cells.naive"	"V291"	0.0252	0.008878347
"30"	"B.cells.naive"	"V295"	0.0485	4.6e-07
"31"	"B.cells.naive"	"V305"	-0.0329	0.000625464
"32"	"B.cells.naive"	"V336"	0.135	3.72e-45
"33"	"B.cells.naive"	"V342"	-0.0159	0.097465021
"34"	"B.cells.naive"	"V352"	0.0115	0.233336191
"35"	"B.cells.naive"	"V357"	0.183	6.06e-82
"36"	"B.cells.naive"	"V360"	-0.176	2.45e-76
"37"	"B.cells.naive"	"V366"	0.0902	5.34e-21
"38"	"B.cells.naive"	"V373"	-0.114	2.24e-32
"39"	"B.cells.naive"	"V394"	-0.126	1.78e-39
"40"	"B.cells.naive"	"V405"	0.134	1.03e-44
"41"	"B.cells.naive"	"V413"	0.00573	0.551406478
"42"	"B.cells.naive"	"V425"	0.0734	2.11e-14
"43"	"B.cells.naive"	"V426"	-0.0364	0.000152599
"44"	"B.cells.naive"	"V442"	0.0137	0.154736013
"45"	"B.cells.naive"	"V451"	-0.102	1.45e-26
"46"	"B.cells.naive"	"V455"	0.184	6.35e-83
"47"	"B.cells.naive"	"V458"	0.238	1.29e-139
"48"	"B.cells.naive"	"V464"	-0.00876	0.362516315
"49"	"B.cells.naive"	"V466"	-0.124	3.4e-38
"50"	"B.cells.naive"	"V467"	-0.0484	4.73e-07
"51"	"B.cells.naive"	"V479"	0.00108	0.910321444
