"GROUP"	"LABEL"
"1"	1	"TCGA.AB.2811.03B.01T.0760.13"
"2"	1	"TCGA.AB.2977.03B.01T.0760.13"
"3"	1	"TCGA.AB.2836.03A.01T.0736.13"
"4"	1	"TCGA.AB.2837.03A.01T.0736.13"
"5"	1	"TCGA.AB.2973.03A.01T.0734.13"
"6"	1	"TCGA.AB.2916.03A.01T.0734.13"
"7"	1	"TCGA.AB.2888.03B.01T.0748.13"
"8"	1	"TCGA.AB.2816.03A.01T.0734.13"
"9"	1	"TCGA.AB.2851.03A.01T.0736.13"
"10"	1	"TCGA.AB.2833.03A.01T.0734.13"
"11"	1	"TCGA.AB.2981.03B.01T.0748.13"
"12"	1	"TCGA.AB.2987.03A.01T.0734.13"
"13"	1	"TCGA.AB.2865.03A.01T.0736.13"
"14"	1	"TCGA.AB.2884.03A.01T.0735.13"
"15"	1	"TCGA.AB.2954.03A.01T.0736.13"
"16"	1	"TCGA.AB.2866.03A.01T.0736.13"
"17"	1	"TCGA.AB.2971.03A.01T.0734.13"
"18"	1	"TCGA.AB.2805.03A.01T.0734.13"
"19"	1	"TCGA.AB.2911.03A.01T.0734.13"
"20"	1	"TCGA.AB.2848.03A.01T.0736.13"
"21"	1	"TCGA.AB.2934.03A.01T.0740.13"
"22"	1	"TCGA.AB.2815.03A.01T.0734.13"
"23"	1	"TCGA.AB.2933.03A.01T.0734.13"
"24"	1	"TCGA.AB.2873.03A.01T.0735.13"
"25"	1	"TCGA.AB.2985.03A.01T.0734.13"
"26"	1	"TCGA.AB.2813.03A.01T.0736.13"
"27"	1	"TCGA.AB.2828.03A.01T.0734.13"
"28"	1	"TCGA.AB.2825.03A.01T.0736.13"
"29"	1	"TCGA.AB.2826.03A.01T.0734.13"
"30"	1	"TCGA.AB.2835.03A.01T.0736.13"
"31"	1	"TCGA.AB.2932.03A.01T.0740.13"
"32"	1	"TCGA.AB.2965.03A.01T.0734.13"
"33"	1	"TCGA.AB.2969.03A.01T.0734.13"
"34"	1	"TCGA.AB.2861.03A.01T.0736.13"
"35"	1	"TCGA.AB.2910.03A.01T.0740.13"
"36"	1	"TCGA.AB.3005.03A.01T.0736.13"
"37"	1	"TCGA.AB.2925.03A.01T.0735.13"
"38"	1	"TCGA.AB.2956.03A.01T.0740.13"
"39"	1	"TCGA.AB.2948.03A.01T.0740.13"
"40"	1	"TCGA.AB.2967.03A.01T.0734.13"
"41"	1	"TCGA.AB.2808.03A.01T.0734.13"
"42"	1	"TCGA.AB.2970.03A.01T.0734.13"
"43"	1	"TCGA.AB.2996.03A.01T.0735.13"
"44"	1	"TCGA.AB.2899.03A.01T.0736.13"
"45"	1	"TCGA.AB.2992.03A.01T.0735.13"
"46"	1	"TCGA.AB.2838.03A.01T.0736.13"
"47"	1	"TCGA.AB.2935.03A.01T.0740.13"
"48"	1	"TCGA.AB.2856.03A.01T.0736.13"
"49"	1	"TCGA.AB.2832.03A.01T.0736.13"
"50"	1	"TCGA.AB.2921.03A.01T.0740.13"
"51"	1	"TCGA.AB.2880.03A.01T.0735.13"
"52"	1	"TCGA.AB.2817.03A.01T.0736.13"
"53"	1	"TCGA.AB.2881.03A.01T.0735.13"
"54"	1	"TCGA.AB.2942.03A.01T.0734.13"
"55"	1	"TCGA.AB.2900.03A.01T.0735.13"
"56"	1	"TCGA.AB.2870.03A.01T.0735.13"
"57"	1	"TCGA.AB.2846.03A.01T.0736.13"
"58"	1	"TCGA.AB.2889.03A.01T.0735.13"
"59"	1	"TCGA.AB.2994.03A.01T.0735.13"
"60"	1	"TCGA.AB.2818.03A.01T.0734.13"
"61"	1	"TCGA.AB.2924.03A.01T.0740.13"
"62"	1	"TCGA.AB.2938.03A.01T.0736.13"
"63"	1	"TCGA.AB.2941.03A.01T.0740.13"
"64"	1	"TCGA.AB.2978.03A.01T.0734.13"
"65"	1	"TCGA.AB.2859.03A.01T.0736.13"
"66"	1	"TCGA.AB.2882.03A.01T.0740.13"
"67"	1	"TCGA.AB.2847.03A.01T.0736.13"
"68"	1	"TCGA.AB.2898.03A.01T.0735.13"
"69"	1	"TCGA.AB.2807.03A.01T.0734.13"
"70"	1	"TCGA.AB.2849.03A.01T.0734.13"
"71"	1	"TCGA.AB.2830.03A.01T.0736.13"
"72"	1	"TCGA.AB.3001.03A.01T.0736.13"
"73"	1	"TCGA.AB.2890.03A.01T.0735.13"
"74"	1	"TCGA.AB.2927.03A.01T.0740.13"
"75"	1	"TCGA.AB.2843.03A.01T.0736.13"
"76"	1	"TCGA.AB.2915.03A.01T.0740.13"
"77"	1	"TCGA.AB.2868.03A.01T.0736.13"
"78"	1	"TCGA.AB.2908.03A.01T.0740.13"
"79"	1	"TCGA.AB.2995.03A.01T.0735.13"
"80"	1	"TCGA.AB.2936.03A.01T.0740.13"
"81"	1	"TCGA.AB.2943.03A.01T.0740.13"
"82"	1	"TCGA.AB.2972.03A.01T.0734.13"
"83"	1	"TCGA.AB.2841.03B.01T.0760.13"
"84"	1	"TCGA.AB.2952.03B.01T.0760.13"
"85"	1	"TCGA.AB.2854.03A.01T.0734.13"
"86"	1	"TCGA.AB.2979.03B.01T.0760.13"
"87"	1	"TCGA.AB.2824.03A.01T.0736.13"
"88"	1	"TCGA.AB.2857.03A.01T.0736.13"
"89"	1	"TCGA.AB.2964.03A.01T.0734.13"
"90"	1	"TCGA.AB.2940.03A.01T.0736.13"
"91"	1	"TCGA.AB.2980.03A.01T.0734.13"
"92"	1	"TCGA.AB.3008.03A.01T.0736.13"
"93"	1	"TCGA.AB.2920.03B.01T.0760.13"
"94"	1	"TCGA.AB.2937.03A.01T.0734.13"
"95"	1	"TCGA.AB.2984.03A.01T.0734.13"
"96"	1	"TCGA.AB.2810.03A.01T.0736.13"
"97"	1	"TCGA.AB.2986.03A.01T.0734.13"
"98"	1	"TCGA.AB.2897.03A.01T.0735.13"
"99"	1	"TCGA.AB.2803.03A.01T.0734.13"
"100"	1	"TCGA.AB.3012.03A.01T.0736.13"
"101"	1	"TCGA.AB.2982.03B.01T.0748.13"
"102"	1	"TCGA.AB.2999.03B.01T.0748.13"
"103"	1	"TCGA.AB.2872.03A.01T.0735.13"
"104"	1	"TCGA.AB.2991.03A.01T.0735.13"
"105"	1	"TCGA.AB.3007.03A.01T.0736.13"
"106"	1	"TCGA.AB.2919.03A.01T.0740.13"
"107"	1	"TCGA.AB.3011.03A.01T.0736.13"
"108"	1	"TCGA.AB.2887.03A.01T.0735.13"
"109"	1	"TCGA.AB.2928.03A.01T.0740.13"
"110"	1	"TCGA.AB.2975.03A.01T.0734.13"
"111"	1	"TCGA.AB.2877.03A.01T.0735.13"
"112"	1	"TCGA.AB.2879.03A.01T.0735.13"
"113"	1	"TCGA.AB.2944.03A.01T.0740.13"
"114"	1	"TCGA.AB.2949.03B.01T.0748.13"
"115"	1	"TCGA.AB.2896.03B.01T.0751.13"
"116"	1	"TCGA.AB.2895.03A.01T.0735.13"
"117"	1	"TCGA.AB.2931.03A.01T.0740.13"
"118"	1	"TCGA.AB.2822.03A.01T.0734.13"
"119"	1	"TCGA.AB.2814.03A.01T.0734.13"
"120"	1	"TCGA.AB.2903.03A.01T.0734.13"
"121"	1	"TCGA.AB.2955.03A.01T.0734.13"
"122"	1	"TCGA.AB.2820.03A.01T.0735.13"
"123"	1	"TCGA.AB.2966.03A.01T.0734.13"
"124"	1	"TCGA.AB.2871.03A.01T.0735.13"
"125"	1	"TCGA.AB.2862.03A.01T.0736.13"
"126"	1	"TCGA.AB.2869.03A.01T.0735.13"
"127"	1	"TCGA.AB.2929.03A.01T.0735.13"
"128"	1	"TCGA.AB.2821.03A.01T.0735.13"
"129"	1	"TCGA.AB.2885.03A.01T.0735.13"
"130"	1	"TCGA.AB.2909.03A.01T.0744.13"
"131"	1	"TCGA.AB.2858.03A.01T.0736.13"
"132"	1	"TCGA.AB.2875.03A.01T.0735.13"
"133"	1	"TCGA.AB.2886.03A.01T.0735.13"
"134"	1	"TCGA.AB.2819.03A.01T.0734.13"
"135"	1	"TCGA.AB.2806.03A.01T.0734.13"
"136"	1	"TCGA.AB.2950.03A.01T.0735.13"
"137"	1	"TCGA.AB.2860.03A.01T.0736.13"
